scenario,outer_id,inner_id,replicate_id,seed,fit_valid,invalid_reason,response_exposure_kyr,n_observation_events,effect_identified,n_response_events,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__pre_phase_sin,beta__pre_phase_cos,phase_deg,rate_ratio,full_log_likelihood,reduced_log_likelihood,ks_uniform,adjacent_dependence,residual_status
C_joint,137,1,1,20260925,True,,396.500709812,68,True,67,-1.7519099574,-1.28053953614,4.80979434899,3.16722060778,-0.751495863421,0.720143556359,313.779535837,8.0179652311,-166.539872354,-180.689679127,,,
C_joint,137,2,2,20260925,True,,396.500709812,79,True,78,-1.60865923947,-0.596259988853,2.55716947128,1.55079788825,-0.3216199582,0.738751921047,336.473818282,5.01007692534,-193.153046301,-203.141542957,,,
C_joint,137,3,3,20260925,True,,396.500709812,75,True,74,-1.61360906785,-0.306723740532,1.211189321,1.03492313162,-0.160274238394,0.145673783655,312.26780304,1.54213565989,-196.711639812,-197.493790344,,,
C_joint,137,4,4,20260925,True,,396.500709812,77,True,76,-1.63523376692,-0.324825786548,2.02565151447,0.594471491328,-0.315305175348,0.279885255066,311.594331464,2.32382732388,-195.798553352,-198.828719815,,,
C_joint,137,5,5,20260925,True,,396.500709812,67,True,66,-1.65359490087,-1.07636548957,3.32599849283,2.2355512754,-0.290429488196,0.3444577142,319.864090879,2.46233804614,-176.000530411,-179.063120361,,,
C_joint,137,6,6,20260925,True,,396.500709812,67,True,66,-1.64934872476,-0.80501616694,1.77596150237,1.61040644023,-0.199214316801,0.267852325111,323.360090923,1.94960400764,-180.550786919,-182.258031808,,,
C_joint,137,7,7,20260925,True,,396.500709812,67,True,66,-1.61577263322,-1.2801880192,2.7762355218,1.66271498958,-0.400241566241,0.455933718039,318.721710061,3.36481703598,-175.543205333,-180.6662729,,,
C_joint,137,8,8,20260925,True,,396.500709812,86,True,85,-1.38618453838,-0.750228087361,2.58958833191,1.70696807676,0.0670423733264,0.233647419102,16.0102083634,1.62604616326,-208.738634327,-209.962998052,,,
C_joint,137,9,9,20260925,True,,396.500709812,82,True,81,-1.71202591662,-0.0930607992511,2.28777930097,1.58533052117,-0.132944426201,0.724563812699,349.602900751,4.3636925766,-198.091996758,-207.461484257,,,
C_joint,137,10,10,20260925,True,,396.500709812,68,True,67,-1.70701657824,-0.989188360081,4.43778099112,3.01256027011,-0.184087048129,0.424560098693,336.558696155,2.52313908535,-174.179119354,-177.358385092,,,
C_joint,137,11,11,20260925,True,,396.500709812,63,True,62,-1.70499535208,-1.23983258679,2.45190299007,1.8370505079,-0.315793157877,0.533694097577,329.386691222,3.45647576343,-168.462901627,-173.871066359,,,
C_joint,137,12,12,20260925,True,,396.500709812,72,True,71,-1.72256487403,-0.616274019208,2.93936908452,1.87748960251,-0.265247442654,0.736429549836,340.191977139,4.78498816601,-181.859365759,-190.536014557,,,
C_joint,137,13,13,20260925,True,,396.500709812,63,True,62,-1.88305302596,-0.288655872773,1.53305517712,0.585513932317,-0.504665131362,0.376655637756,306.735733783,3.52349864189,-171.193891406,-176.468593578,,,
C_joint,137,14,14,20260925,True,,396.500709812,70,True,69,-1.83885187755,-0.362194918188,0.53574848754,-0.251983552351,-0.722960868284,0.60607073422,309.973692003,6.59815475573,-177.711752211,-189.476004216,,,
C_joint,137,15,15,20260925,True,,396.500709812,77,True,76,-1.6530484644,-0.259029997698,2.12446085676,1.21413499666,-0.32898730385,0.369364078619,318.309002039,2.68926344101,-195.869516572,-199.973076279,,,
C_joint,137,16,16,20260925,True,,396.500709812,66,True,65,-1.7305230036,-0.677869159163,2.23655976333,0.972543982022,-0.0486012273797,0.394110588768,352.96984943,2.21265246377,-177.005589231,-179.373387814,,,
C_joint,137,17,17,20260925,True,,396.500709812,67,True,66,-1.76205026638,-0.615080721814,2.09247926478,3.86162385427,-0.310005053426,0.237251770922,307.427401672,2.1831028057,-176.053082091,-178.15300093,,,
C_joint,137,18,18,20260925,True,,396.500709812,70,True,69,-1.78525475425,-0.588293794914,1.95916695526,1.27968374035,0.236986257743,0.830592559085,15.92460914,5.62645538829,-177.459897208,-187.687635661,,,
C_joint,137,19,19,20260925,True,,396.500709812,75,True,74,-1.5985315331,-0.871471635262,2.00023109632,1.28850859482,-0.164715422221,0.77510334902,348.002679124,4.87843020073,-186.414274493,-196.221325563,,,
C_joint,137,20,20,20260925,True,,396.500709812,77,True,76,-1.56633645788,-0.540847589666,1.06723446754,1.17293086247,-0.0873683086706,0.484598405152,349.779925649,2.67733659602,-196.222427364,-200.458951559,,,
C_joint,137,21,21,20260925,True,,396.500709812,64,True,63,-1.8099484683,-0.582923314166,0.56038513209,-0.677062904864,-0.359764027217,0.549772324627,326.799773879,3.72120233516,-172.034100981,-177.932401327,,,
C_joint,137,22,22,20260925,True,,396.500709812,78,True,77,-1.66316703405,-0.0121218215645,0.62913491917,0.720644418503,0.155094865458,0.256750127704,31.1348846248,1.8219672285,-201.093880403,-202.759526897,,,
C_joint,137,23,23,20260925,True,,396.500709812,70,True,69,-1.71016588198,-0.580132798012,1.93412084452,1.60308726914,-0.548355890182,0.437515667626,308.585249446,4.06745278321,-182.081041794,-189.013567329,,,
C_joint,137,24,24,20260925,True,,396.500709812,69,True,68,-1.73267422238,-0.39561022858,0.5822183072,-0.571016044879,-0.212676965088,0.457311526244,335.058780172,2.74201448588,-183.159735687,-186.991311537,,,
C_joint,137,25,25,20260925,True,,396.500709812,65,True,64,-1.66517739691,-1.4270483234,3.08401919335,2.46386104391,-0.632041033731,0.460679765463,306.087422798,4.77898050388,-169.12034077,-177.222005122,,,
C_joint,137,26,26,20260925,True,,396.500709812,59,True,58,-1.73763117899,-1.34560191466,1.89932340774,1.31782290289,-0.162066492647,0.400287794932,337.958209053,2.3719285169,-163.52328787,-166.013890889,,,
C_joint,137,27,27,20260925,True,,396.500709812,80,True,79,-1.54595071681,-0.495167238938,2.14687282249,0.838959981829,-0.202334162679,0.368206281961,331.21063047,2.31700109033,-200.109414682,-203.296492631,,,
C_joint,137,28,28,20260925,True,,396.500709812,69,True,68,-1.70279783006,-0.683172814533,1.01482634906,0.214957177335,-0.0713948534155,0.669108009687,353.909496376,3.8413059487,-180.255051045,-186.919684223,,,
C_joint,137,29,29,20260925,True,,396.500709812,60,True,59,-1.7399166571,-1.31904312992,1.02664601162,0.412597872991,-0.603279691516,0.252715387464,292.728933118,3.69930862784,-164.171052351,-169.484386474,,,
C_joint,137,30,30,20260925,True,,396.500709812,70,True,69,-1.68603374347,-0.642778306752,2.37207146929,0.928060310048,-0.0456061956799,0.460986598337,354.350015338,2.52558851188,-182.64589083,-186.040069261,,,
C_joint,137,31,31,20260925,True,,396.500709812,68,True,67,-1.64858969695,-0.956340196063,0.497525508133,-0.348773776493,-0.157413761379,0.604981461956,345.415264974,3.49121786363,-178.673535234,-184.53033802,,,
C_joint,137,32,32,20260925,True,,396.500709812,70,True,69,-1.81210364355,-0.342040371367,3.16092030921,1.81097629043,-0.273629864407,0.61232288787,335.92147646,3.82424640798,-179.642586148,-186.070463112,,,
