event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_fraction,pre_phase_extrapolated,phase_rad,phase_deg,phase_extrapolated,orbital_value_at_event
297.52778462,1,53,63,54,Barker_S3_063,Barker event 54,Barker2011,297.52778462,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00900506403975,102.336046114,1.80508119885,103.423534372,0.287287595479,False,1.80508119885,103.423534372,False,0.00900506403975
301.831050705,1,54,64,55,Barker_S3_064,Barker event 55,Barker2011,301.831050705,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0354159869305,103.553983872,3.02301895742,173.206227648,0.481128410133,False,3.02301895742,173.206227648,False,0.0354159869305
306.888917952,1,55,65,56,Barker_S3_065,Barker event 56,Barker2011,306.888917952,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0079826477084,105.021964102,4.49099918684,257.315299203,0.714764720008,False,4.49099918684,257.315299203,False,0.0079826477084
317.780158488,1,56,66,57,Barker_S3_066,Barker event 57,Barker2011,317.780158488,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.00602184380087,108.216058822,1.40190859963,80.3234460219,0.223120683394,False,1.40190859963,80.3234460219,False,-0.00602184380087
327.901346184,1,57,67,58,Barker_S3_067,Barker event 58,Barker2011,327.901346184,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0122638035764,111.181063787,4.36691356536,250.205716794,0.695015879983,False,4.36691356536,250.205716794,False,0.0122638035764
334.860945836,1,58,68,59,Barker_S3_068,Barker event 59,Barker2011,334.860945836,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0308056014554,113.190370306,0.0930347767034,5.33050005305,0.0148069445918,False,0.0930347767034,5.33050005305,False,-0.0308056014554
335.209952309,1,59,69,60,Barker_S3_069,Barker event 60,Barker2011,335.209952309,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0303534815521,113.294792798,0.19745726902,11.313468149,0.0314263004139,False,0.19745726902,11.313468149,False,-0.0303534815521
335.743726913,1,60,70,61,Barker_S3_070,Barker event 61,Barker2011,335.743726913,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0290862546822,113.454497787,0.357162257268,20.4638899428,0.0568441387301,False,0.357162257268,20.4638899428,False,-0.0290862546822
336.252534653,1,61,71,62,Barker_S3_071,Barker event 62,Barker2011,336.252534653,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0272571770297,113.606732706,0.509397177125,29.1863083451,0.0810730787364,False,0.509397177125,29.1863083451,False,-0.0272571770297
349.382740981,1,62,72,63,Barker_S3_072,Barker event 63,Barker2011,349.382740981,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00696667097178,117.627877901,4.53054237137,259.580956785,0.721058213291,False,4.53054237137,259.580956785,False,0.00696667097178
351.123122905,1,63,73,64,Barker_S3_073,Barker event 64,Barker2011,351.123122905,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.00450243709497,118.185793316,5.08845778653,291.547155398,0.80985320944,False,5.08845778653,291.547155398,False,-0.00450243709497
366.804973984,1,64,74,65,Barker_S3_074,Barker event 65,Barker2011,366.804973984,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00553765931721,123.525449427,4.14492859075,237.486914633,0.65968587398,False,4.14492859075,237.486914633,False,0.00553765931721
372.804462592,1,65,75,66,Barker_S3_075,Barker event 66,Barker2011,372.804462592,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.00408231333007,125.887026093,0.223319949325,12.7952905774,0.0355424738261,False,0.223319949325,12.7952905774,False,-0.00408231333007
378.190563154,1,66,76,67,Barker_S3_076,Barker event 67,Barker2011,378.190563154,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00541549541432,128.0563766,2.39267045663,137.089918931,0.380805330363,False,2.39267045663,137.089918931,False,0.00541549541432
387.378117458,1,67,77,68,Barker_S3_077,Barker event 68,Barker2011,387.378117458,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0106812349155,131.392035872,5.72832972887,328.209117123,0.911691992009,False,5.72832972887,328.209117123,False,-0.0106812349155
392.245695897,1,68,78,69,Barker_S3_078,Barker event 69,Barker2011,392.245695897,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.00535587208367,133.03675819,1.0898667388,62.4447643647,0.173457678791,False,1.0898667388,62.4447643647,False,-0.00535587208367
396.464263878,1,69,79,70,Barker_S3_079,Barker event 70,Barker2011,396.464263878,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,conditioning,False,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0123790799678,134.431813156,2.48492170478,142.375526104,0.395487572511,False,2.48492170478,142.375526104,False,0.0123790799678
