segment_id,age_kyr_bp,lr04,co2,precession_index,pre_phase_deg,reduced_rate,full_rate
Barker2011,12.5,3.99,244.800217908,-0.018802,17.3394495413,0.186391507297,0.261868674022
Barker2011,12.6,4.004,247.701742322,-0.0186365,18.9908256881,0.198070607572,0.276434959042
Barker2011,12.7,4.018,243.908084595,-0.018456,20.6422018349,0.184977552842,0.252773599838
Barker2011,12.8,4.032,241.944256182,-0.018261,22.2935779817,0.178722004175,0.239849891831
Barker2011,12.9,4.046,239.256596477,-0.018051,23.9449541284,0.170110981259,0.223702343786
Barker2011,13,4.06,239.299801744,-0.0178265,25.5963302752,0.170401648639,0.220640371211
Barker2011,13.1,4.082,239.582556424,-0.017588,27.247706422,0.173170575198,0.221313860947
Barker2011,13.2,4.104,238.479744779,-0.017335,28.8990825688,0.17114328913,0.215094995392
Barker2011,13.3,4.126,237.257396655,-0.0170685,30.5504587156,0.168506648453,0.208042950741
Barker2011,13.4,4.148,237.672820174,-0.016788,32.2018348624,0.170928156808,0.207825229667
Barker2011,13.5,4.17,238.949322959,-0.0164935,33.8532110092,0.175972467697,0.210890622269
Barker2011,13.6,4.192,243.765681391,-0.0161855,35.504587156,0.193523643276,0.230051779043
Barker2011,13.7,4.214,241.012830762,-0.0158635,37.1559633028,0.183762889095,0.213143664343
Barker2011,13.8,4.236,239.891068232,-0.015528,38.8073394495,0.179662767653,0.203805800154
Barker2011,13.9,4.258,239.036051631,-0.015179,40.4587155963,0.17616899806,0.195353083971
Barker2011,14,4.28,236.054663063,-0.0148165,42.1100917431,0.165465821874,0.178389800138
Barker2011,14.1,4.301,234.415156835,-0.014441,43.7614678899,0.15884003929,0.166706113722
Barker2011,14.2,4.322,238.574931149,-0.014053,45.4128440367,0.169932088422,0.175489164271
Barker2011,14.3,4.343,238.617099922,-0.0136525,47.0642201835,0.16753953945,0.168606464224
Barker2011,14.4,4.364,241.88537177,-0.0132395,48.7155963303,0.175171083062,0.172708328227
Barker2011,14.5,4.385,241.947813349,-0.0128155,50.3669724771,0.171687623331,0.164528064846
Barker2011,14.5729053939,4.40031013272,239.788195603,-0.0124999872128,51.5709147619,0.161844464322,0.151092449252
Barker2011,14.5729053939,4.40031013272,239.788195603,-0.0124999872128,51.5709147619,0.367743847487,0.467435024081
Barker2011,14.6,4.406,236.270181494,-0.0123805,52.0183486239,0.346515286273,0.436130401556
Barker2011,14.7,4.427,228.672389142,-0.011935,53.6697247706,0.308462551834,0.378495954089
Barker2011,14.8,4.448,228.43269166,-0.0114795,55.3211009174,0.316128530003,0.383883767598
Barker2011,14.9,4.469,229.401411223,-0.011014,56.9724770642,0.331567856947,0.399418457819
Barker2011,15,4.49,228.026655946,-0.01054,58.623853211,0.332502675466,0.395417753729
Barker2011,15.1,4.516,233.940930761,-0.0100575,60.2752293578,0.386045765185,0.460800324401
Barker2011,15.2,4.542,229.013863215,-0.0095665,61.9266055046,0.36419823214,0.426732417022
Barker2011,15.3,4.568,226.668127045,-0.009068,63.5779816514,0.360993884598,0.417398819212
Barker2011,15.4,4.594,224.981756495,-0.0085625,65.2293577982,0.362363068004,0.414012420124
Barker2011,15.5,4.62,223.38628461,-0.008051,66.880733945,0.364370602005,0.411448387827
Barker2011,15.6,4.646,223.128795056,-0.007534,68.5321100917,0.375895683958,0.420671630134
Barker2011,15.7,4.672,222.209589116,-0.007012,70.1834862385,0.382902948839,0.424126319285
Barker2011,15.8,4.698,223.814695412,-0.0064855,71.8348623853,0.409353754384,0.451134462891
Barker2011,15.9,4.724,223.202481239,-0.005955,73.4862385321,0.419441601436,0.45786070147
Barker2011,16,4.75,224.276774584,-0.005422,75.1376146789,0.443881056906,0.481636616372
Barker2011,16.1,4.763,223.24269986,-0.0048865,76.7889908257,0.443091732936,0.473785151731
Barker2011,16.2,4.776,224.933174737,-0.004348,78.4403669725,0.465987363613,0.493821295294
Barker2011,16.3,4.789,213.104345201,-0.003807,80.0917431193,0.378305556286,0.386509702267
Barker2011,16.4,4.802,210.991552536,-0.0032635,81.7431192661,0.369911522113,0.371747771362
Barker2011,16.5,4.815,209.517131167,-0.0027175,83.3944954128,0.366150817979,0.362473808691
Barker2011,16.6,4.828,209.173109162,-0.00217,85.0458715596,0.370356734131,0.362059789374
Barker2011,16.7,4.841,211.503870931,-0.001621,86.6972477064,0.394293697004,0.382808628019
Barker2011,16.8,4.854,205.513844988,-0.00107,88.3486238532,0.357958023013,0.339366231082
Barker2011,16.9,4.867,204.021930471,-0.0005175,90,0.35419650457,0.331015986037
Barker2011,17,4.88,204.205033321,3.6e-05,91.6513761468,0.361895045205,0.334611411302
Barker2011,17.1,4.894,201.707457856,0.00059,93.3027522936,0.351749051598,0.320187383002
Barker2011,17.2,4.908,198.462499963,0.001144,94.9541284404,0.337029046903,0.301641384606
Barker2011,17.3,4.922,195.257678413,0.0016975,96.6055045872,0.323172076645,0.28448248133
Barker2011,17.4,4.936,192.345689138,0.0022495,98.2568807339,0.311625826586,0.270040770138
Barker2011,17.5,4.95,191.539155391,0.0027995,99.9082568807,0.312851151733,0.268103960913
Barker2011,17.6,4.964,196.337103399,0.0033465,101.559633028,0.349655646325,0.299841594029
Barker2011,17.7,4.978,190.840218284,0.0038905,103.211009174,0.320878890215,0.269675510904
Barker2011,17.8,4.992,187.596968276,0.004431,104.862385321,0.307452570427,0.254489432271
Barker2011,17.9,5.006,191.323476559,0.004967,106.513761468,0.336639614458,0.278480445497
Barker2011,18,5.02,188.668290722,0.0054985,108.165137615,0.326202169854,0.266266270235
Barker2011,18.1,5.014,188.608850095,0.006025,109.816513761,0.32309682682,0.259937965796
Barker2011,18.2,5.008,185.858885461,0.006546,111.467889908,0.303951472646,0.239776564383
Barker2011,18.3,5.002,188.751663427,0.007061,113.119266055,0.318559994143,0.249368609425
Barker2011,18.4,4.996,188.28542513,0.0075695,114.770642202,0.313072620959,0.241609767161
Barker2011,18.5,4.99,187.319875469,0.0080705,116.422018349,0.304749931885,0.231714448531
Barker2011,18.6,4.984,189.533559547,0.008563,118.073394495,0.315263101802,0.23780636885
Barker2011,18.7,4.978,193.048765991,0.0090465,119.724770642,0.334364762267,0.250982824979
Barker2011,18.8,4.972,192.865176395,0.009521,121.376146789,0.330375988472,0.24501251403
Barker2011,18.9,4.966,189.597027668,0.009985,123.027522936,0.307711729337,0.22413700984
Barker2011,19,4.96,192.646723809,0.0104375,124.678899083,0.323449543571,0.23451742369
Barker2011,19.1,4.963,191.624890034,0.010879,126.330275229,0.318445234439,0.228713565539
Barker2011,19.2,4.966,191.267536605,0.0113095,127.981651376,0.317528158945,0.226312733576
Barker2011,19.3,4.969,191.576762211,0.011729,129.633027523,0.320675712578,0.227220716791
Barker2011,19.4,4.972,191.534622607,0.012137,131.28440367,0.321678279469,0.226537603275
Barker2011,19.5,4.975,190.345975925,0.012534,132.935779817,0.315672904241,0.22053039606
Barker2011,19.6,4.978,190.233253504,0.0129205,134.587155963,0.316221566316,0.219731495559
Barker2011,19.7,4.981,192.370170037,0.013296,136.23853211,0.330706724095,0.229730033045
Barker2011,19.8,4.984,193.833978715,0.013661,137.889908257,0.341420150036,0.236886994711
Barker2011,19.9,4.987,195.776328477,0.014016,139.541284404,0.355717357608,0.24686810694
Barker2011,20,4.99,194.046440746,0.014361,141.19266055,0.345443470174,0.23811159718
Barker2011,20.1,4.982,192.365244331,0.0146955,142.844036697,0.330683336922,0.22567626479
Barker2011,20.2,4.974,190.695244572,0.015019,144.495412844,0.316613536026,0.214038137526
Barker2011,20.3,4.966,190.25759802,0.015331,146.146788991,0.310371227141,0.208467146076
Barker2011,20.4,4.958,190.009112347,0.015631,147.798165138,0.305346828211,0.203949264701
Barker2011,20.5,4.95,192.804845608,0.015918,149.449541284,0.318422588875,0.212924718509
Barker2011,20.6,4.942,190.921898671,0.0161915,151.100917431,0.303596719728,0.201398776319
Barker2011,20.7,4.934,188.774732454,0.0164515,152.752293578,0.287990145205,0.18951781136
Barker2011,20.8,4.926,191.798884704,0.016697,154.403669725,0.301606126122,0.199085867197
Barker2011,20.9,4.918,191.716991454,0.016927,156.055045872,0.297617468668,0.195898248089
Barker2011,21,4.91,190.020044751,0.0171415,157.706422018,0.284726935886,0.186356125644
