phase_deg,point_multiplier,chronology_low,chronology_high,sampling_low,sampling_high,combined_low,combined_high
161,0.382546586599,0.280978936985,0.520828687333,0.189399252075,0.772663510099,0.188467360409,0.776484005512
162,0.384076858272,0.282570090162,0.522047584636,0.190376171315,0.774860803434,0.189527716166,0.778329608163
163,0.385725668175,0.284241848146,0.523442596715,0.191424415341,0.77724824612,0.190654783918,0.780385826315
164,0.387493982965,0.285994411756,0.52501580682,0.192544624569,0.779827466852,0.191849081286,0.782654708729
165,0.389382836749,0.287828004803,0.526769428354,0.19373748081,0.782600212002,0.193111157045,0.785138445
166,0.391393331125,0.28974287415,0.528705805444,0.195003706797,0.785568347214,0.194441590411,0.787839367725
167,0.393526635218,0.291739289887,0.53082741336,0.196344065674,0.78873385908,0.195840990305,0.790759954721
168,0.395783985701,0.293817545651,0.533136858761,0.197759360429,0.7920988569,0.197309994581,0.793902831278
169,0.398166686798,0.295977959068,0.535636879769,0.19925043329,0.795665574515,0.198849269219,0.797270772471
170,0.400676110283,0.298220872346,0.538330345855,0.200818165062,0.799436372212,0.200459507495,0.800866705486
171,0.403313695441,0.300546652988,0.541220257531,0.202463474412,0.803413738712,0.2021414291,0.804693711994
172,0.406080949023,0.302955694655,0.544309745842,0.204187317096,0.807600293223,0.203895779233,0.808755030536
173,0.408979445164,0.305448418153,0.547602071664,0.20599068512,0.811998787564,0.205723327657,0.813054058926
174,0.412010825277,0.308025272544,0.551100624776,0.207874605835,0.81661210836,0.207624867712,0.81759435667
175,0.415176797911,0.310686736384,0.554808922743,0.209840140968,0.82144327929,0.209601215296,0.82237964737
176,0.418479138574,0.313433319064,0.558730609574,0.21188838557,0.826495463405,0.211653207801,0.827413821133
177,0.421919689515,0.31626556225,0.562869454182,0.21402046689,0.83177196549,0.21378170301,0.832700936954
178,0.425500359462,0.319184041409,0.567229348634,0.216237543173,0.837276234488,0.215987577966,0.838245225062
179,0.429223123312,0.322189367401,0.571814306201,0.218540802361,0.843011865955,0.218271727784,0.844051089237
180,0.433090021762,0.325282188128,0.576628459213,0.220931460717,0.848982604562,0.22063506444,0.85012310906
181,0.437103160887,0.328463190204,0.581676056726,0.223410761347,0.855192346623,0.223078515511,0.856466042101
182,0.441264711658,0.331733100654,0.586961462004,0.225979972633,0.861645142646,0.225603022883,0.86308482602
183,0.445576909383,0.335092688586,0.592489149834,0.228640386563,0.868345199901,0.228209541421,0.869984580571
184,0.450042053082,0.338542766845,0.598263703669,0.231393316961,0.875296884986,0.2308990376,0.877170609491
185,0.454662504781,0.342084193609,0.604289812614,0.234240097613,0.882504726392,0.233672488107,0.884648402252
186,0.459440688722,0.345717873909,0.610572268267,0.237182080284,0.889973417049,0.236530878405,0.892423635666
187,0.464379090481,0.34944476105,0.617115961412,0.240220632628,0.897707816836,0.239475201268,0.900502175313
188,0.469480255995,0.353265857916,0.623925878571,0.243357135988,0.905712955053,0.24250645529,0.908890076786
189,0.474746790483,0.357182218133,0.631007098428,0.246592983082,0.913994032827,0.245625643356,0.917593586708
190,0.480181357259,0.361194947079,0.638364788112,0.249929575579,0.922556425444,0.248833771102,0.926619143525
191,0.485786676429,0.365305202708,0.646004199356,0.253368321561,0.931405684585,0.252131845344,0.935973378032
192,0.491565523471,0.369514196198,0.653930664508,0.256910632875,0.940547540447,0.255520872484,0.94566311361
193,0.497520727682,0.373823192389,0.66214959241,0.26055792237,0.949987903733,0.259001856908,0.955695366159
194,0.503655170495,0.378233510003,0.67066646412,0.264311601032,0.959732867477,0.262575799363,0.966077343689
195,0.509971783643,0.382746521655,0.679486828481,0.268173075,0.969788708698,0.266243695323,0.976816445536
196,0.516473547189,0.387363653624,0.688616297504,0.272143742489,0.980161889839,0.270006533343,0.987920261201
197,0.523163487388,0.3920863854,0.698060541573,0.276224990609,0.990859059973,0.273865293414,0.999396568745
198,0.530044674387,0.396916249,0.707825284437,0.280418192084,1.00188705575,0.277820945306,1.01125333274
199,0.537120219758,0.401854828051,0.717916297965,0.284724701883,1.01325290207,0.281874446918,1.02349870174
200,0.544393273846,0.40690375664,0.728339396658,0.289145853771,1.02496381236,0.286026742618,1.03614100519
201,0.551867022934,0.412064717952,0.739100431882,0.293682956773,1.0370271886,0.290278761599,1.04918874989
202,0.559544686213,0.417339442682,0.750205285792,0.298337291574,1.04945062086,0.294631416231,1.06265061573
203,0.567429512555,0.422729707237,0.761659864936,0.303110106855,1.06224188649,0.299085600426,1.07653545092
204,0.575524777067,0.428237331741,0.77347009349,0.308002615572,1.07540894873,0.303642188011,1.09085226657
205,0.583833777435,0.43386417784,0.785641906116,0.313015991204,1.08895995493,0.308302031111,1.10561023048
206,0.592359830047,0.439612146328,0.798181240405,0.318151363951,1.10290323416,0.313065958539,1.12081866036
207,0.601106265879,0.445483174597,0.811094028872,0.323409816921,1.11724729422,0.317934774206,1.13648701618
208,0.610076426144,0.451479233919,0.824386190492,0.328792382307,1.13200081804,0.322909255537,1.15262489184
209,0.6192736577,0.457602326573,0.838063621732,0.334300037556,1.1471726594,0.327990151899,1.1692420059
210,0.628701308202,0.463854482825,0.852132187076,0.339933701563,1.16277183791,0.333178183044,1.1863481916
211,0.638362720995,0.47023775776,0.866597708993,0.345694230885,1.17880753322,0.338474037555,1.20395338591
212,0.648261229751,0.476754227993,0.88146595735,0.351582415992,1.19528907842,0.343878371308,1.22206761769
213,0.658400152825,0.483405988242,0.896742638247,0.357598977574,1.2122259526,0.349391805937,1.24070099491
214,0.668782787344,0.490195147783,0.912433382236,0.363744562914,1.22962777248,0.355014927299,1.25986369095
215,0.679412403012,0.497123826792,0.928543731941,0.370019742327,1.24750428305,0.360748283949,1.27956592978
