realization_id,fit_valid,invalid_reason
joint_01037,True,
joint_01038,True,
joint_01039,True,
joint_01040,True,
joint_01041,True,
joint_01042,True,
joint_01043,True,
joint_01044,True,
joint_01045,True,
joint_01046,True,
joint_01047,True,
joint_01048,True,
joint_01049,True,
joint_01050,True,
joint_01051,True,
joint_01052,True,
joint_01053,True,
joint_01054,True,
joint_01055,True,
joint_01056,True,
joint_01057,True,
joint_01058,True,
joint_01059,True,
joint_01060,True,
joint_01061,True,
joint_01062,True,
joint_01063,True,
joint_01064,True,
joint_01065,True,
joint_01066,True,
joint_01067,True,
joint_01068,True,
joint_01069,True,
joint_01070,True,
joint_01071,True,
joint_01072,True,
joint_01073,True,
joint_01074,True,
joint_01075,True,
joint_01076,True,
joint_01077,True,
joint_01078,True,
joint_01079,True,
joint_01080,True,
joint_01081,True,
joint_01082,True,
joint_01083,True,
joint_01084,True,
joint_01085,True,
joint_01086,True,
joint_01087,True,
joint_01088,True,
joint_01089,True,
joint_01090,True,
joint_01091,True,
joint_01092,True,
joint_01093,True,
joint_01094,True,
joint_01095,True,
joint_01096,True,
joint_01097,True,
joint_01098,True,
joint_01099,True,
joint_01100,True,
joint_01101,True,
joint_01102,True,
joint_01103,True,
joint_01104,True,
joint_01105,True,
joint_01106,True,
joint_01107,True,
joint_01108,True,
joint_01109,True,
joint_01110,True,
joint_01111,True,
joint_01112,True,
joint_01113,True,
joint_01114,True,
joint_01115,True,
joint_01116,True,
joint_01117,True,
joint_01118,True,
joint_01119,True,
joint_01120,True,
joint_01121,True,
joint_01122,True,
joint_01123,True,
joint_01124,True,
joint_01125,True,
joint_01126,True,
joint_01127,True,
joint_01128,True,
joint_01129,True,
joint_01130,True,
joint_01131,True,
joint_01132,True,
joint_01133,True,
joint_01134,True,
joint_01135,True,
joint_01136,True,
joint_01137,True,
joint_01138,True,
joint_01139,True,
joint_01140,True,
joint_01141,True,
joint_01142,True,
joint_01143,True,
joint_01144,True,
joint_01145,True,
joint_01146,True,
joint_01147,True,
joint_01148,True,
joint_01149,True,
joint_01150,True,
joint_01151,True,
joint_01152,True,
joint_01153,True,
joint_01154,True,
joint_01155,True,
joint_01156,True,
joint_01157,True,
joint_01158,True,
joint_01159,True,
joint_01160,True,
joint_01161,True,
joint_01162,True,
joint_01163,True,
joint_01164,True,
joint_01165,True,
joint_01166,True,
joint_01167,True,
joint_01168,True,
joint_01169,True,
joint_01170,True,
joint_01171,True,
joint_01172,True,
joint_01173,True,
joint_01174,True,
joint_01175,True,
joint_01176,True,
joint_01177,True,
joint_01178,True,
joint_01179,True,
joint_01180,True,
joint_01181,True,
joint_01182,True,
joint_01183,True,
joint_01184,True,
joint_01185,True,
joint_01186,True,
joint_01187,True,
joint_01188,True,
joint_01189,True,
joint_01190,True,
joint_01191,True,
joint_01192,True,
joint_01193,True,
joint_01194,True,
joint_01195,True,
joint_01196,True,
joint_01197,True,
joint_01198,True,
joint_01199,True,
joint_01200,True,
joint_01201,True,
joint_01202,True,
joint_01203,True,
joint_01204,True,
joint_01205,True,
joint_01206,True,
joint_01207,True,
joint_01208,True,
joint_01209,True,
joint_01210,True,
joint_01211,True,
joint_01212,True,
joint_01213,True,
joint_01214,True,
joint_01215,True,
joint_01216,True,
joint_01217,True,
joint_01218,True,
joint_01219,True,
joint_01220,True,
joint_01221,True,
joint_01222,True,
joint_01223,True,
joint_01224,True,
joint_01225,True,
joint_01226,True,
joint_01227,True,
joint_01228,True,
joint_01229,True,
joint_01230,True,
joint_01231,False,"NGRIP observation support [12, 123] kyr BP: NGRIP:GI-25=123.598"
joint_01232,True,
joint_01233,True,
joint_01234,True,
joint_01235,True,
joint_01236,True,
joint_01237,True,
joint_01238,True,
joint_01239,True,
joint_01240,True,
joint_01241,True,
joint_01242,True,
joint_01243,True,
joint_01244,True,
joint_01245,True,
joint_01246,True,
joint_01247,True,
joint_01248,True,
joint_01249,True,
joint_01250,True,
joint_01251,True,
joint_01252,True,
joint_01253,True,
joint_01254,True,
joint_01255,True,
joint_01256,True,
joint_01257,True,
joint_01258,True,
joint_01259,True,
joint_01260,True,
joint_01261,True,
joint_01262,True,
joint_01263,True,
joint_01264,True,
joint_01265,True,
joint_01266,True,
joint_01267,True,
joint_01268,True,
joint_01269,True,
joint_01270,True,
joint_01271,True,
joint_01272,True,
joint_01273,True,
joint_01274,True,
joint_01275,True,
joint_01276,True,
joint_01277,True,
joint_01278,True,
joint_01279,True,
joint_01280,True,
joint_01281,True,
joint_01282,True,
joint_01283,True,
joint_01284,True,
joint_01285,True,
joint_01286,True,
joint_01287,True,
joint_01288,True,
joint_01289,True,
joint_01290,True,
joint_01291,True,
joint_01292,True,
joint_01293,True,
joint_01294,True,
joint_01295,True,
joint_01296,True,
joint_01297,True,
joint_01298,True,
joint_01299,True,
joint_01300,True,
joint_01301,True,
joint_01302,True,
joint_01303,True,
joint_01304,True,
joint_01305,True,
joint_01306,True,
joint_01307,True,
joint_01308,True,
joint_01309,True,
joint_01310,True,
joint_01311,True,
joint_01312,True,
joint_01313,True,
joint_01314,True,
joint_01315,True,
joint_01316,True,
joint_01317,True,
joint_01318,True,
joint_01319,True,
joint_01320,True,
