outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
85,9418,joint_09419,NGRIP_01635,8624,53,164.168941,113.77937,194.889571,-0.7026990564506245,-0.8778489296329051,0.605078673836177,-1.8340941710933114,-0.4054354348891343,-0.5913850238386893,0.5394751108240916
86,2179,joint_02180,NGRIP_07047,468,53,170.160004,120.143531,194.516473,-0.6961248246743091,-1.0589293205709078,2.2622296752038693,0.13025662387891496,-0.266657625741441,-0.4065077556318308,0.8111601487620036
87,7541,joint_07542,NGRIP_01886,494,53,167.97927900000002,118.411189,194.06809,-0.8702020023066398,-0.6295439194013799,1.8090401405103014,0.09850995505314696,-0.18208556282135024,-0.24088777800290784,0.6745186612338512
88,8195,joint_08196,NGRIP_05984,2196,53,164.458552,115.265155,193.693397,-0.7501450906686928,-0.848035893926514,2.0527669649444595,0.12269514685271236,-0.2823865147291988,-0.4586400782736369,0.7145873795961979
89,5608,joint_05609,NGRIP_08499,8816,53,165.272277,115.929859,193.842418,-0.7498037078039952,-0.8699331505279887,1.3829021985220054,-0.6588310687107449,-0.26261727147719477,-0.45930359023083334,0.737362673302593
90,5907,joint_05908,NGRIP_09598,40,53,166.873356,117.083454,194.289902,-0.7506214310965358,-0.9222073939757552,1.9514111561780343,-0.1333945955110716,-0.2596067559433268,-0.46850026793127036,0.8244676469807568
91,9101,joint_09102,NGRIP_03521,3060,53,168.636122,118.134846,195.001276,-0.7456705639262443,-0.847929246029177,1.8376012859880724,-0.3011020220366314,-0.2926712573406033,-0.3311259397974982,0.6433298737120958
92,7101,joint_07102,NGRIP_07153,7046,53,164.90646700000002,115.986317,193.42015,-0.7086063627824367,-1.0612547031630861,1.7889924780939637,-0.09383151777011349,-0.21406808465575436,-0.5435613984601448,0.9088708920406818
93,5868,joint_05869,NGRIP_03544,1524,53,164.035537,114.245161,194.290376,-0.6892562661367466,-1.0553960389923893,1.9624921777087003,0.2643330608806367,-0.2315533764845531,-0.5668507741872748,0.80279215720166
94,3475,joint_03476,NGRIP_00775,4684,53,164.97745299999997,115.169519,194.307934,-0.7799048120643554,-0.8217472588759279,1.697364197142898,-0.42250576271795454,-0.29039247670907675,-0.49677269410771685,0.7902806351555269
95,9243,joint_09244,NGRIP_09898,1343,53,162.641527,112.953552,194.187975,-0.7207527982283728,-0.9415931559995664,2.036598419506917,0.30341139649345455,-0.25348431502796387,-0.4808520985599142,0.7943619437661896
96,9006,joint_09007,NGRIP_06450,3346,53,164.084629,114.744187,193.840442,-0.673939502046366,-1.1178706775887826,2.0932752420217446,0.08923843324065679,-0.24487636136077875,-0.5476841586006641,0.8854597576674704
97,7644,joint_07645,NGRIP_01612,2964,53,162.926597,113.519162,193.907435,-0.8148674509020062,-0.8189399009411218,2.062379592681812,0.5648827731296745,-0.17051994505316384,-0.5967759375359043,0.805880673431004
98,461,joint_00462,NGRIP_05692,2590,53,168.67915299999999,119.792943,193.38621,-0.7511286064853484,-0.8554370102508342,1.7416567110825891,-0.32067622212710817,-0.24882398126874164,-0.20378061694408975,0.6757573648417329
99,8389,joint_08390,NGRIP_07279,948,53,165.15576799999997,115.394877,194.260891,-0.7172078814950215,-0.956854324959544,1.2934460977975186,-0.8743961049672723,-0.288988439863725,-0.4878370099890318,0.7857749603580374
100,4747,joint_04748,NGRIP_06850,5276,53,159.959715,110.758746,193.700969,-0.6492966711435153,-1.1093148916454043,1.3047855651793425,-0.8849777855449433,-0.3151518375216196,-0.7463525880264092,0.7961006687438731
101,6347,joint_06348,NGRIP_00943,9728,53,164.835777,115.343796,193.991981,-0.7511843218738895,-0.9799913629795182,2.3163561248302345,0.8226656916040445,-0.15883596986733067,-0.5241302528787914,0.8349453274689099
102,6962,joint_06963,NGRIP_03675,2387,53,164.613394,114.888407,194.224987,-0.6884039161668448,-1.0700395864733923,2.4597795697778855,0.6483528938716336,-0.2420917819282222,-0.554011553476325,0.7949355214424808
103,1757,joint_01758,NGRIP_03269,9016,53,163.99019399999997,114.777228,193.712966,-0.7664230226775168,-0.8586665038065243,2.174419143327089,0.43480842238507167,-0.22555351546871694,-0.5166071242910131,0.7185301338764136
104,2072,joint_02073,NGRIP_02847,5502,53,162.594327,113.921898,193.172429,-0.7267345001714524,-0.9364287461738181,1.9060830062259415,0.07621225114425915,-0.255849138419064,-0.5988413926503265,0.7702853819372952
105,5301,joint_05302,NGRIP_05704,1801,53,166.069457,116.655988,193.913469,-0.7538676907208816,-0.9553982247049605,2.381576161797017,0.644715951980514,-0.18356888806987606,-0.3398530175520727,0.8538652158532616
106,496,joint_00497,NGRIP_01104,1926,53,166.902987,116.181755,195.221232,-0.6825197804972452,-1.131572531209827,2.803151653193778,1.0219801760843399,-0.24656086148670459,-0.5180121444827323,0.8960761259948997
107,1403,joint_01404,NGRIP_03985,3948,53,167.850399,117.038014,195.312385,-0.787972963682389,-0.7994604163772818,1.7698480202648967,-0.2769185764840533,-0.2838245657611709,-0.28947372078855405,0.8036399992958523
108,8676,joint_08677,NGRIP_07350,8564,53,162.84059200000002,113.900731,193.439861,-0.8286893861503793,-0.7724810445629138,1.898553155090571,0.41611832860264986,-0.16595684581753214,-0.6003301002621672,0.7652582173545226
109,6389,joint_06390,NGRIP_07201,3260,53,168.74668400000002,118.326935,194.919749,-0.7057166720651287,-0.9714496723467827,2.1479171652868745,0.011197151047675087,-0.31555594423805283,-0.39450540597944306,0.7497274929707911
