realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08570,NGRIP_02445,8942,True,,55,12.792451,0.00166784071,0.167778232,-8.73407012,326.108051,4.56891857,True,True,False
joint_08571,NGRIP_02514,1589,True,,55,11.7068387,0.00287006864,0.153539983,-7.64845784,324.748023,4.25137443,True,True,False
joint_08572,NGRIP_08600,3928,True,,55,15.8095082,0.000368985173,0.207348173,-11.7511274,325.804329,5.65643508,True,True,False
joint_08573,NGRIP_00190,2132,True,,55,14.7240149,0.000634922604,0.193111484,-10.6656341,324.405134,5.34661663,True,True,False
joint_08574,NGRIP_08244,2883,True,,55,7.8804875,0.0194434748,0.10335582,-3.82210667,338.937272,3.25761814,True,True,False
joint_08575,NGRIP_01648,7956,True,,55,14.0109239,0.000906914885,0.183759004,-9.95254308,332.675576,5.11990363,True,True,False
joint_08576,NGRIP_09360,7709,True,,55,13.4305272,0.00121226641,0.176146864,-9.37214639,333.570799,4.91653231,True,True,False
joint_08577,NGRIP_07877,5306,True,,55,11.6965007,0.00288494245,0.153404395,-7.63811983,331.011443,4.31098204,True,True,False
joint_08578,NGRIP_04144,6754,True,,55,8.82050176,0.0121521292,0.115684492,-4.76212094,340.113784,3.50264714,True,True,False
joint_08579,NGRIP_00840,967,True,,55,15.9017568,0.000352352525,0.208558051,-11.843376,330.714738,5.75137981,True,True,False
joint_08580,NGRIP_02464,5922,True,,55,10.6275428,0.00492332394,0.139384575,-6.56916193,335.74951,3.98228991,True,True,False
joint_08581,NGRIP_07793,5402,True,,55,15.0029543,0.000552267978,0.196769889,-10.9445735,327.930054,5.36360769,True,True,False
joint_08582,NGRIP_04551,85,True,,55,11.5989555,0.00302913629,0.152125051,-7.54057468,327.738687,4.30316931,True,True,False
joint_08583,NGRIP_04530,5992,True,,55,6.70932611,0.0349211348,0.0879955591,-2.65094528,337.512243,2.96272966,True,True,False
joint_08584,NGRIP_07700,6412,True,,55,12.1394367,0.00231182426,0.159213683,-8.08105586,338.055208,4.45285609,True,True,False
joint_08585,NGRIP_05208,3785,True,,55,13.1924485,0.00136551417,0.173024364,-9.13406765,331.175555,4.81746358,True,True,False
joint_08586,NGRIP_04656,1136,True,,55,5.77067992,0.0558358044,0.07568483,-1.71229909,323.946862,2.73332951,True,True,False
joint_08587,NGRIP_01181,1158,True,,55,8.31152243,0.0156738554,0.10900902,-4.2531416,331.119855,3.33035992,True,True,False
joint_08588,NGRIP_05835,3813,True,,55,9.39865452,0.00910139794,0.123267202,-5.34027369,328.818051,3.69516166,True,True,False
joint_08589,NGRIP_00642,2577,True,,55,10.4787271,0.00530363135,0.137432796,-6.42034624,331.632872,3.96415857,True,True,False
joint_08590,NGRIP_00419,273,True,,55,15.3154421,0.000472382724,0.200868294,-11.2570613,320.665479,5.5476814,True,True,False
joint_08591,NGRIP_09890,6181,True,,55,11.940025,0.00255420951,0.156598317,-7.88164416,335.202777,4.37441232,True,True,False
joint_08592,NGRIP_00578,9804,True,,55,9.48767579,0.00870517246,0.124434753,-5.42929496,319.722047,3.65109481,True,True,False
joint_08593,NGRIP_05416,5723,True,,55,7.48804023,0.0236588006,0.0982087137,-3.4296594,327.583113,3.17744941,True,True,False
joint_08594,NGRIP_09476,8351,True,,55,6.79432812,0.0334680489,0.0891103953,-2.73594729,333.93374,2.99908586,True,True,False
joint_08595,NGRIP_09923,7255,True,,55,13.0834334,0.00144201091,0.171594586,-9.02505253,323.461473,4.65643276,True,True,False
joint_08596,NGRIP_00772,790,True,,55,8.53475987,0.0140184644,0.11193687,-4.47637904,331.433008,3.46117321,True,True,False
joint_08597,NGRIP_04165,2513,True,,55,13.3589058,0.00125646517,0.17520752,-9.30052502,321.568807,4.91851949,True,True,False
joint_08598,NGRIP_01887,3350,True,,55,6.42608558,0.0402340033,0.0842807436,-2.36770475,331.071605,2.90069383,True,True,False
joint_08599,NGRIP_09541,7364,True,,55,13.4161226,0.00122102903,0.175957942,-9.3577418,329.264319,4.77282333,True,True,False
joint_08600,NGRIP_03969,8348,True,,55,11.1481677,0.00379495074,0.146212784,-7.08978687,336.616519,4.20408579,True,True,False
joint_08601,NGRIP_00631,4163,True,,55,10.5813586,0.00503833645,0.138778851,-6.52297781,339.407261,3.9962974,True,True,False
joint_08602,NGRIP_08747,2486,True,,55,14.7521379,0.000626057117,0.193480329,-10.6937571,319.64101,5.27693428,True,True,False
joint_08603,NGRIP_04279,3878,True,,55,10.9103156,0.00427420221,0.143093257,-6.8519348,336.673245,4.08432525,True,True,False
joint_08604,NGRIP_06032,47,True,,55,4.81211626,0.0901700337,0.0631128751,-0.753735429,335.766435,2.4909351,True,True,False
joint_08605,NGRIP_06655,14,True,,55,11.4455485,0.00327062479,0.150113055,-7.38716766,335.864243,4.21813458,True,True,False
joint_08606,NGRIP_06246,5755,True,,55,11.9019095,0.00260335382,0.156098416,-7.84352865,333.964852,4.36850863,True,True,False
