realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_09718,70,1993,398.5,-299.951927237,-297.305464493,5.29292548769,0.0709015670206,0.0545434096635,-1.27075013953,-0.130196591393,0.384726793307,341.303506682,2.25312870094,True,True,False,True,
Barker_MC_09719,70,1993,398.5,-299.296172639,-295.910595392,6.77115449397,0.0338580922219,0.069776507211,-2.74897914581,-0.0944006768817,0.452205104003,348.208485383,2.51911286096,True,True,False,True,
Barker_MC_09720,70,1993,398.5,-298.06077623,-293.180026132,9.76150019449,0.00759131766496,0.10059191373,-5.73932484633,-0.194608914462,0.526877140656,339.727636168,3.07510224773,True,True,False,True,
Barker_MC_09721,70,1993,398.5,-298.351582287,-294.565528303,7.57210796833,0.022684940604,0.0780303043927,-3.54993262017,-0.122242076407,0.474815444824,345.562626482,2.66604855426,True,True,False,True,
Barker_MC_09722,70,1993,398.5,-300.014940892,-296.471466128,7.08694952726,0.028912687579,0.0730307638429,-3.0647741791,-0.152778369148,0.450096088823,341.250989075,2.58735751412,True,True,False,True,
Barker_MC_09723,70,1993,398.5,-299.708566602,-296.306990686,6.80315183192,0.0333207179112,0.0701062386452,-2.78097648376,-0.131760726539,0.445296294819,343.51680397,2.53137321178,True,True,False,True,
Barker_MC_09724,70,1993,398.5,-301.567628605,-297.358976403,8.41730440495,0.0148663917273,0.0867400237333,-4.39512905678,-0.251005994306,0.45862933396,331.308289076,2.8452413174,True,True,False,True,
Barker_MC_09725,70,1993,398.5,-297.988269754,-294.511701892,6.95313572296,0.0309133279918,0.0716518173295,-2.93096037479,-0.134948179375,0.447647131565,343.22398609,2.54744619611,True,True,False,True,
Barker_MC_09726,70,1993,398.5,-299.296181713,-295.008536051,8.57529132414,0.0137372293352,0.0883680733394,-4.55311597598,-0.254069843418,0.462045621546,331.194466453,2.87078495339,True,True,False,True,
Barker_MC_09727,70,1993,398.5,-302.194024924,-298.758160374,6.87172909996,0.0321975617941,0.0708129249632,-2.8495537518,-0.194616845022,0.423753458173,335.332145867,2.54114572936,True,True,False,True,
Barker_MC_09728,70,1993,398.5,-297.480982757,-292.692057089,9.5778513356,0.00832139252134,0.0986994187446,-5.55567598744,-0.203341814839,0.518686594422,338.593224453,3.04725676176,True,True,False,True,
