phase_deg,mc_q025,mc_median,mc_q975
106.5,0.63422272055028,0.6994666579824708,0.7781795826119374
107.0,0.631690819419533,0.6968023377513735,0.7753210433422022
107.5,0.6293281512391286,0.6942051979669166,0.7724224013357823
108.0,0.6268652329613994,0.6917348790654037,0.769608670696121
108.5,0.6245999262113802,0.6892207766143621,0.7666502536941616
109.0,0.622388651727044,0.6867489657449062,0.7639783785883667
109.5,0.6200361948676566,0.6843284054209795,0.7610210310988036
110.0,0.6178095408969664,0.6818409383815947,0.7584539537212046
110.5,0.6155984203956137,0.679349488757051,0.7558082563065108
111.0,0.6134012496897432,0.676939679609043,0.7533259553993514
111.5,0.611353100734051,0.6745595278195187,0.7508405007983522
112.0,0.6091877960922123,0.6722209194031596,0.748211023508875
112.5,0.6070378944012802,0.6698338895085382,0.7459240454256352
113.0,0.6048575874115223,0.6675389491914416,0.7434350008348448
113.5,0.6026629860570595,0.6653392426741145,0.7409369278269202
114.0,0.600591417312829,0.6631170631981416,0.738267068918191
114.5,0.598618858867696,0.6608896067245942,0.7358918825778364
115.0,0.5964601407078022,0.6587554333134557,0.7332133682784734
115.5,0.594631181685943,0.6566086427870642,0.7308125960242433
116.0,0.5927086327036671,0.6544769686327621,0.7286566265231496
116.5,0.590769370193419,0.6524350164061772,0.726412519320036
117.0,0.5889223603769612,0.6504461758131411,0.7240725234105008
117.5,0.5871152255799983,0.6484295749720845,0.7217246117727646
118.0,0.585286765548479,0.6464761170326971,0.7195001333500806
118.5,0.5833562563065088,0.6444849661818527,0.7171084013807085
119.0,0.5816590561222006,0.6426308280046481,0.7147301671650416
119.5,0.5799500351653669,0.6407503951854381,0.7126216098289209
120.0,0.57814964014835,0.6388620639382263,0.7106192777585111
120.5,0.5765583286951524,0.6369635506722392,0.7085108457108111
121.0,0.5747803588032425,0.6351169147423493,0.7062100829426717
121.5,0.5732458803312659,0.6333244080795304,0.7039624370733891
122.0,0.5717838960767371,0.6315332154214346,0.7017177468984915
122.5,0.5702182490085428,0.6298165368361098,0.6997077844150529
123.0,0.5686584230647778,0.6281093794945714,0.697591485903154
