bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
147,58,56,True,finite_mle,1,,37,19,-114.078674325,-111.997134981,2.08153934419,4.16307868838,0.0536254730228,True,True,True,4
148,59,57,True,finite_mle,1,,35,22,-110.798512398,-110.412550713,0.385961684944,0.771923369888,0.00976885980425,True,True,True,4
149,62,60,True,finite_mle,1,,39,21,-116.115575817,-115.331733911,0.783841905779,1.56768381156,0.0188474138385,True,True,True,4
150,57,55,True,finite_mle,1,,33,22,-112.860443902,-111.421207604,1.43923629752,2.87847259504,0.0377523467109,True,True,True,4
151,49,47,True,finite_mle,1,,29,18,-102.904896491,-101.637999815,1.26689667599,2.53379335197,0.038888203229,True,True,True,4
152,57,55,True,finite_mle,1,,30,25,-106.303930455,-102.409114425,3.89481602992,7.78963205984,0.102164214028,True,True,True,4
153,57,55,True,finite_mle,1,,31,24,-112.70744224,-110.112492593,2.59494964692,5.18989929384,0.0680676543085,True,True,True,4
154,50,48,True,finite_mle,1,,34,14,-100.905948901,-100.725826574,0.180122327331,0.360244654663,0.00541378309155,True,True,True,4
155,46,44,True,finite_mle,1,,27,17,-96.9621408775,-95.5212502915,1.44089058603,2.88178117206,0.0472446750666,True,True,True,4
156,62,60,True,finite_mle,1,,41,19,-116.952246583,-115.451573283,1.5006733008,3.0013466016,0.0360835654844,True,True,True,4
157,49,47,True,finite_mle,1,,37,10,-98.919360319,-98.0956528295,0.823707489486,1.64741497897,0.0252842278771,True,True,True,4
158,61,59,True,finite_mle,1,,39,20,-118.582970652,-118.119343065,0.463627587725,0.92725517545,0.0113368342649,True,True,True,4
159,52,50,True,finite_mle,1,,30,20,-107.873819824,-105.516770327,2.35704949734,4.71409899467,0.0680100724187,True,True,True,4
160,65,63,True,finite_mle,1,,40,23,-119.645243583,-119.256880944,0.388362638433,0.776725276865,0.00889347384974,True,True,True,4
161,52,50,True,finite_mle,1,,31,19,-105.729324102,-105.714874652,0.0144494504505,0.028898900901,0.00041692301017,True,True,True,4
162,46,44,True,finite_mle,1,,27,17,-101.657016636,-101.556215852,0.100800784004,0.201601568007,0.00330510889091,True,True,True,4
163,51,49,True,finite_mle,1,,31,18,-105.608135175,-103.482162762,2.12597241245,4.25194482491,0.0625944868676,True,True,True,4
164,51,49,True,finite_mle,1,,33,16,-102.828019041,-98.4573580223,4.37066101862,8.74132203724,0.128684305652,True,True,True,4
165,60,58,True,finite_mle,1,,38,20,-115.290705069,-113.959835665,1.33086940381,2.66173880763,0.0331041153268,True,True,True,4
166,62,60,True,finite_mle,1,,43,17,-115.189786884,-115.099237744,0.0905491401706,0.181098280341,0.00217724659135,True,True,True,4
167,47,45,True,finite_mle,1,,28,17,-100.991448385,-98.4145232531,2.57692513229,5.15385026457,0.0826159357576,True,True,True,4
168,57,55,True,finite_mle,1,,30,25,-111.618168186,-110.062075933,1.55609225274,3.11218450547,0.0408175741125,True,True,True,4
169,65,63,True,finite_mle,1,,36,27,-121.724747426,-121.010494262,0.714253164391,1.42850632878,0.0163563412414,True,True,True,4
170,66,64,True,finite_mle,1,,38,26,-121.813763093,-121.275181081,0.53858201219,1.07716402438,0.0121407749703,True,True,True,4
171,55,53,True,finite_mle,1,,32,21,-107.061465131,-106.709582669,0.35188246179,0.703764923579,0.0095784732566,True,True,True,4
172,33,31,True,finite_mle,1,,16,15,-76.6727127879,-76.2928777957,0.379834992176,0.759669984351,0.0176769696635,True,True,True,4
173,50,48,True,finite_mle,1,,34,14,-103.137890805,-101.918317911,1.21957289334,2.43914578669,0.0366556617756,True,True,True,4
174,54,52,True,finite_mle,1,,33,19,-109.891161035,-108.713307529,1.17785350618,2.35570701235,0.0326785271587,True,True,True,4
175,57,55,True,finite_mle,1,,33,22,-111.3066865,-111.013835066,0.292851434031,0.585702868063,0.00768173293808,True,True,True,4
176,52,50,True,finite_mle,1,,33,17,-104.607606849,-103.920638367,0.686968481325,1.37393696265,0.0198217204251,True,True,True,4
177,57,55,True,finite_mle,1,,37,18,-111.631594862,-111.058497863,0.573096999171,1.14619399834,0.0150328036119,True,True,True,4
