bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
142,70,69,True,finite_mle,1,,69,-184.567831263,-184.195330456,0.372500806865,0.745001613731,0.00778847922887,True,True,True,4
143,66,65,True,finite_mle,1,,65,-174.351352716,-172.326940746,2.02441196971,4.04882393941,0.0449324478371,True,True,True,4
144,71,70,True,finite_mle,1,,70,-187.046589284,-185.925427049,1.12116223474,2.24232446948,0.0231070742298,True,True,True,4
145,82,81,True,finite_mle,1,,81,-206.193309781,-206.028925785,0.164383995777,0.328767991553,0.00292785154949,True,True,True,4
146,74,73,True,finite_mle,1,,73,-188.287461628,-187.846695155,0.440766472758,0.881532945515,0.0087108438964,True,True,True,4
147,74,73,True,finite_mle,1,,73,-193.053381584,-192.642765188,0.410616395712,0.821232791425,0.00811498955893,True,True,True,4
148,72,71,True,finite_mle,1,,71,-189.342587791,-188.902972361,0.43961542989,0.87923085978,0.00893283099437,True,True,True,4
149,76,75,True,finite_mle,1,,75,-189.501213464,-189.362358216,0.138855248094,0.277710496188,0.00267101037103,True,True,True,4
150,74,73,True,finite_mle,1,,73,-191.603698211,-190.163635025,1.44006318601,2.88012637202,0.0284598906442,True,True,True,4
151,75,74,True,finite_mle,1,,74,-189.396060725,-188.856063011,0.539997714389,1.07999542878,0.0105277300627,True,True,True,4
152,77,76,True,finite_mle,1,,76,-190.823182399,-190.552156663,0.271025735959,0.542051471917,0.00514483533185,True,True,True,4
153,77,76,True,finite_mle,1,,76,-200.528064531,-198.85748884,1.67057569017,3.34115138033,0.0317122534688,True,True,True,4
154,59,58,True,finite_mle,1,,58,-166.727006633,-164.896319867,1.83068676529,3.66137353057,0.045536598581,True,True,True,4
155,64,63,True,finite_mle,1,,63,-168.640805743,-166.160504,2.48030174334,4.96060348667,0.0567987146829,True,True,True,4
156,59,58,True,finite_mle,1,,58,-162.675631975,-161.579911737,1.09572023744,2.19144047489,0.0272550026338,True,True,True,4
157,73,72,True,finite_mle,1,,72,-189.798814164,-189.195456704,0.603357459407,1.20671491881,0.0120897335357,True,True,True,4
158,64,63,True,finite_mle,1,,63,-172.380846967,-172.007373022,0.373473945648,0.746947891295,0.00855252395694,True,True,True,4
159,72,71,True,finite_mle,1,,71,-180.975391469,-178.840713662,2.13467780678,4.26935561355,0.0433759026159,True,True,True,4
160,76,75,True,finite_mle,1,,75,-191.845972707,-190.810389305,1.03558340237,2.07116680473,0.0199204138536,True,True,True,4
161,69,68,True,finite_mle,1,,68,-181.525994754,-181.16813032,0.35786443471,0.71572886942,0.00759248890098,True,True,True,4
162,70,69,True,finite_mle,1,,69,-181.572675039,-181.140309338,0.432365701058,0.864731402116,0.00904017177923,True,True,True,4
163,70,69,True,finite_mle,1,,69,-183.274851105,-182.07141666,1.2034344444,2.4068688888,0.025162158043,True,True,True,4
164,67,66,True,finite_mle,1,,66,-177.348945996,-173.911661411,3.43728458538,6.87456917075,0.0751356579613,True,True,True,4
165,55,54,True,finite_mle,1,,54,-159.339229075,-157.421497225,1.91773185011,3.83546370022,0.0512352264798,True,True,True,4
166,72,71,True,finite_mle,1,,71,-185.280317026,-182.441573101,2.83874392512,5.67748785024,0.0576822786356,True,True,True,4
167,72,71,True,finite_mle,1,,71,-185.74694705,-184.524752121,1.22219492858,2.44438985716,0.0248345713023,True,True,True,4
168,62,61,True,finite_mle,1,,61,-165.389797995,-161.955195788,3.43460220655,6.8692044131,0.0812308782101,True,True,True,4
169,77,76,True,finite_mle,1,,76,-193.905280067,-191.748024251,2.15725581655,4.3145116331,0.0409508193219,True,True,True,4
170,60,59,True,finite_mle,1,,59,-164.140608276,-162.545889014,1.59471926124,3.18943852248,0.0389948062678,True,True,True,4
171,56,55,True,finite_mle,1,,55,-158.204910168,-154.814195252,3.3907149158,6.7814298316,0.0889412289836,True,True,True,4
172,67,66,True,finite_mle,1,,66,-174.519257089,-174.440513575,0.0787435135128,0.157487027026,0.00172125570374,True,True,True,4
173,82,81,True,finite_mle,1,,81,-199.532087572,-197.548592533,1.98349503865,3.96699007729,0.035328129085,True,True,True,4
174,72,71,True,finite_mle,1,,71,-188.957494017,-188.259687794,0.697806223069,1.39561244614,0.0141791771482,True,True,True,4
175,63,62,True,finite_mle,1,,62,-163.208568866,-162.621983016,0.586585850418,1.17317170084,0.0136494273783,True,True,True,4
176,63,62,True,finite_mle,1,,62,-173.494500152,-173.334816099,0.159684053023,0.319368106046,0.00371573211944,True,True,True,4
177,65,64,True,finite_mle,1,,64,-177.003936776,-176.032425071,0.971511704382,1.94302340876,0.02189992372,True,True,True,4
178,78,77,True,finite_mle,1,,77,-197.670753343,-197.109388601,0.561364742195,1.12272948439,0.0105178977882,True,True,True,4
179,63,62,True,finite_mle,1,,62,-175.1943016,-173.114903629,2.07939797052,4.15879594105,0.048386082905,True,True,True,4
180,65,64,True,finite_mle,1,,64,-177.286306667,-175.817235277,1.46907139001,2.93814278001,0.0331159688918,True,True,True,4
181,69,68,True,finite_mle,1,,68,-180.548598923,-180.351041499,0.197557423869,0.395114847738,0.00419139876039,True,True,True,4
182,70,69,True,finite_mle,1,,69,-186.769194493,-185.665987113,1.1032073804,2.2064147608,0.0230665480692,True,True,True,4
183,61,60,True,finite_mle,1,,60,-158.601137045,-156.211180932,2.38995611243,4.77991222485,0.057466297189,True,True,True,4
184,78,77,True,finite_mle,1,,77,-195.790590481,-194.725062625,1.06552785579,2.13105571158,0.0199640487465,True,True,True,4
185,58,57,True,finite_mle,1,,57,-165.481005222,-163.185609264,2.29539595762,4.59079191524,0.0580974800866,True,True,True,4
186,68,67,True,finite_mle,1,,67,-181.828413365,-180.700122378,1.12829098717,2.25658197434,0.0242952210727,True,True,True,4
187,69,68,True,finite_mle,1,,68,-175.283904234,-174.496946031,0.786958203001,1.573916406,0.0166961867185,True,True,True,4
188,59,58,True,finite_mle,1,,58,-165.182323627,-164.898415822,0.283907805277,0.567815610554,0.00706193763349,True,True,True,4
189,67,66,True,finite_mle,1,,66,-172.657140903,-171.988810175,0.668330728208,1.33666145642,0.0146090519282,True,True,True,4
190,71,70,True,finite_mle,1,,70,-183.75230378,-183.650965552,0.101338228116,0.202676456232,0.00208857370222,True,True,True,4
191,66,65,True,finite_mle,1,,65,-177.712954072,-176.990292472,0.722661600593,1.44532320119,0.0160396970372,True,True,True,4
192,65,64,True,finite_mle,1,,64,-176.106401732,-176.094137154,0.0122645781063,0.0245291562126,0.000276469468946,True,True,True,4
193,81,80,True,finite_mle,1,,80,-202.541951072,-201.314129978,1.22782109395,2.4556421879,0.0221421425418,True,True,True,4
194,61,60,True,finite_mle,1,,60,-167.310839375,-165.558885442,1.75195393308,3.50390786617,0.0421255875188,True,True,True,4
