realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
5819,134.661396,138.201439,146.099813,146.658118,148.196195,149.140642,150.217579,150.919974,159.244352,160.493910,164.814252,167.718392,169.044355,171.034838,172.018302,174.046819,176.777849,179.588786,180.063424,191.742584,194.435142
5820,134.949281,138.388544,146.225919,146.823313,148.419072,149.451569,150.440198,151.097864,159.509640,160.877138,164.964223,168.501880,169.639314,171.111378,172.336523,174.707392,176.484877,179.663926,180.167043,192.277728,194.760652
5821,135.407578,138.650695,146.481660,147.111337,148.771194,149.864660,150.768855,151.387951,159.883892,161.041270,165.265489,169.685381,170.521802,172.111396,172.831587,175.699658,176.226647,180.206650,180.803888,191.462734,194.080092
5822,134.785298,138.289964,146.138220,146.722898,148.293007,149.297786,150.323046,150.993895,159.372242,160.814917,164.855186,168.113121,169.317303,170.876937,172.158626,174.346422,176.666750,179.186297,179.666571,191.499833,194.452367
5823,135.624251,138.794311,146.586898,147.236631,148.937968,150.084559,150.922409,151.525810,160.075186,161.133249,165.413034,170.102059,170.964747,172.076364,173.068765,176.193182,176.946145,179.598064,180.061340,191.714889,194.534452
5824,134.878329,138.330653,146.215959,146.790922,148.363348,149.345942,150.372331,151.056922,159.426913,160.615387,164.944267,168.292831,169.469072,171.340511,172.252836,174.521813,176.371993,179.952336,180.497447,191.710006,194.214368
5825,135.593952,138.761979,146.581270,147.225489,148.914651,150.040274,150.901369,151.505824,160.040174,161.111345,165.377548,170.168780,170.887488,172.372834,173.033512,176.108899,176.260350,179.766391,180.278501,191.079309,194.243206
5826,135.317791,138.610079,146.423001,147.048970,148.702371,149.797160,150.703469,151.331508,159.818408,161.016966,165.209259,169.375522,170.362955,171.638227,172.736302,175.518582,176.514664,179.382186,179.836367,191.501118,194.680124
5827,134.579426,138.166202,146.028119,146.596832,148.134739,149.104718,150.175967,150.863367,159.199745,160.736801,164.718294,167.625051,168.913033,170.582608,171.935286,173.893243,176.864075,180.030107,180.460765,190.852063,194.375070
5828,134.415803,138.058506,145.951598,146.503885,148.007804,148.930146,150.063695,150.760703,159.052256,160.668370,164.669177,167.113018,168.575833,170.720182,171.757062,173.521919,176.706300,179.434107,179.895394,190.859924,194.355180
5829,134.711081,138.245348,146.098528,146.677451,148.235951,149.228185,150.270023,150.946839,159.310056,160.786756,164.805836,167.937171,169.171563,170.770831,172.078112,174.183050,176.850827,179.781937,180.209427,191.216613,194.722013
5830,134.628376,138.195628,146.054297,146.626806,148.172370,149.150624,150.210937,150.894402,159.240759,160.755374,164.750842,167.741098,169.009156,170.652590,171.988389,174.000994,176.712513,180.058242,180.529083,191.909774,194.244849
5831,135.591711,138.760641,146.580072,147.224117,148.912926,150.038163,150.899775,151.504406,160.038295,161.110503,165.376201,170.162967,170.883091,172.369690,173.031084,176.103979,176.820982,179.775047,180.289718,190.897677,194.372807
5832,135.188682,138.515513,146.382122,146.980916,148.602484,149.639653,150.593727,151.252845,159.688093,160.789177,165.130272,169.114647,170.076690,171.777821,172.588371,175.201360,176.740374,180.073357,180.576293,190.946683,194.005050
5833,135.038338,138.430222,146.284317,146.885181,148.486983,149.516739,150.506323,151.154425,159.574272,160.902439,165.043481,168.727685,169.797313,171.593444,172.431539,174.888881,177.088643,180.165762,180.597737,191.031082,194.477155
