realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_00148,True,lr04_phase_interaction,2.0,0.23374509197338966,0.0030656625911103996,0.8896985815922086,3.7662549080266103,3.8428551772360606,-199.62164683442535,-199.50477428843865,True,,True,55.0,901.0,180.0
joint_07211,True,lr04_phase_interaction,2.0,0.07769798717447429,0.0010190409162151668,0.9618959506368493,3.9223020128255257,3.998902282034976,-198.26799352827584,-198.2291445346886,True,,True,55.0,901.0,180.0
joint_06836,True,lr04_phase_interaction,2.0,2.6929890178820415,0.03531965364788056,0.2601506197573329,1.3070109821179585,1.3836112513274088,-201.39396541506053,-200.04747090611951,True,,True,55.0,901.0,180.0
joint_03935,True,lr04_phase_interaction,2.0,0.10856207437819876,0.0014238360575822377,0.9471658802572145,3.8914379256218012,3.9680381948312515,-199.50889864121774,-199.45461760402864,True,,True,55.0,901.0,180.0
joint_07458,True,lr04_phase_interaction,2.0,0.24227937489621354,0.0031775932061131394,0.8859102004141273,3.7577206251037865,3.8343208943132367,-196.2575086718175,-196.1363689843694,True,,True,55.0,901.0,180.0
joint_05210,True,lr04_phase_interaction,2.0,0.019004137941692534,0.00024924705058954196,0.99054293303633,3.9809958620583075,4.057596131267758,-199.90535034290838,-199.89584827393753,True,,True,55.0,901.0,180.0
joint_04419,True,lr04_phase_interaction,2.0,2.15559737580611,0.028271542220261257,0.3403439047894352,1.84440262419389,1.9210028934033403,-199.69186413516297,-198.61406544725992,True,,True,55.0,901.0,180.0
joint_01800,True,lr04_phase_interaction,2.0,0.0358862424562858,0.00047066276388929546,0.9822168980603584,3.964113757543714,4.0407140267531645,-197.13724592298314,-197.119302801755,True,,True,55.0,901.0,180.0
joint_03204,True,lr04_phase_interaction,2.0,1.5861760825113151,0.020803348801961434,0.45244546553685117,2.413823917488685,2.490424186698135,-201.02438921119108,-200.23130116993542,True,,True,55.0,901.0,180.0
joint_09525,True,lr04_phase_interaction,2.0,0.08178400871560143,0.0010726307618001633,0.9599327929085625,3.9182159912843986,3.994816260493849,-200.72463679873226,-200.68374479437446,True,,True,55.0,901.0,180.0
joint_03740,True,lr04_phase_interaction,2.0,0.014585826325856033,0.00019129908461436537,0.9927336155984473,3.985414173674144,4.062014442883594,-200.89352003969765,-200.88622712653472,True,,True,55.0,901.0,180.0
joint_07755,True,lr04_phase_interaction,2.0,5.331065151648204,0.06991910233580759,0.06956229646892827,-1.331065151648204,-1.2544648824387536,-200.9744864597397,-198.3089538839156,True,,True,55.0,901.0,180.0
joint_09348,True,lr04_phase_interaction,2.0,0.3474218028077871,0.004556579200068162,0.8405398614304076,3.652578197192213,3.729178466401663,-198.15245856601035,-197.97874766460646,True,,True,55.0,901.0,180.0
joint_08504,True,lr04_phase_interaction,2.0,5.024448095246612,0.06589769409287533,0.08108769564974999,-1.024448095246612,-0.9478478260371617,-202.2276889918112,-199.7154649441879,True,,True,55.0,901.0,180.0
