model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.62481660237002,217.24963320474004,336.74459249336536,7.797762607710077,53,167.22914600000007,finite_mle,joint_09511
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.33779726574153,216.67559453148306,340.3056458723034,7.5374944319483115,53,167.22914600000007,finite_mle,joint_09511
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-109.32175362530731,232.64350725061462,322.32924132209837,2.722009093825676,53,170.42661400000003,finite_mle,joint_03335
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.0805924642056,222.1611849284112,331.33152233884823,2.3651034970350517,53,170.42661400000003,finite_mle,joint_03335
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.15718384770398,220.31436769540795,327.5527160794969,6.114240173765308,53,165.222172,finite_mle,joint_08888
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.5695662156991,221.1391324313982,331.44036013449283,5.689021313074871,53,165.222172,finite_mle,joint_08888
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-97.11080839383524,208.22161678767048,316.02488950701485,11.202045330441942,53,159.94102600000002,finite_mle,joint_07321
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-96.9253520743396,211.8507041486792,314.449364744817,11.53474420076458,53,159.94102600000002,finite_mle,joint_07321
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-104.71530001742997,223.43060003485994,333.99670154305403,4.708261768942387,53,168.19403500000004,finite_mle,joint_09045
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.6668229264679,217.3336458529358,341.8747405921833,4.547064262594685,53,168.19403500000004,finite_mle,joint_09045
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-104.17719864287324,222.35439728574647,325.23879786288967,5.167430660850676,53,165.42819100000003,finite_mle,joint_05292
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.95337799377,219.90675598754,330.3243564829317,4.876170338094927,53,165.42819100000003,finite_mle,joint_05292
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.58282205712413,217.16564411424827,324.7769589768677,7.529728624667052,53,163.20412300000004,finite_mle,joint_06980
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.69439240643825,219.3887848128765,327.06073200747556,7.125866112607506,53,163.20412300000004,finite_mle,joint_06980
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.45041859972707,214.90083719945414,325.32798460226724,8.810193179144681,53,161.24751500000002,finite_mle,joint_05143
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.4169076932877,218.8338153865754,325.6761543103583,8.545930122983606,53,161.24751500000002,finite_mle,joint_05143
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.61308110781476,219.22616221562953,322.5782768250911,6.838361781738242,53,164.340596,finite_mle,joint_09286
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.34064170211371,222.68128340422743,324.0116415346351,6.710769843723875,53,164.340596,finite_mle,joint_09286
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-105.22909034054967,224.45818068109935,339.08568596200695,4.713108659941174,53,168.82082300000008,finite_mle,joint_02883
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.02740069858316,220.05480139716633,345.906172592676,4.467378824572252,53,168.82082300000008,finite_mle,joint_02883
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-105.51165429809565,225.0233085961913,325.1835892609451,4.772205056837226,53,168.51622000000003,finite_mle,joint_03165
