background_id,phase_deg,rate_multiplier_point,rate_multiplier_q025,rate_multiplier_median,rate_multiplier_q975
q25,178.0,0.4052985265898827,0.36091736539318864,0.472811488973237,0.7944571346102415
q25,179.0,0.40575722339486625,0.36285079172421963,0.4738037550839414,0.7968977142310644
q25,180.0,0.40632806588925596,0.3649701380711042,0.4751035619670545,0.8021743967663577
q25,181.0,0.4070113514978609,0.36721536613282363,0.47754745022006956,0.8123145898097487
q25,182.0,0.40780743584626944,0.36854342923301076,0.47855830105631153,0.8143108355347859
q25,183.0,0.40871673273776005,0.3702395235277658,0.4817543354544527,0.8184423383700093
q25,184.0,0.4097397141245415,0.37277441779074555,0.4827552776391625,0.8205628826403243
q25,185.0,0.4108769100724589,0.37570332704447884,0.48420682697143735,0.8159124277368685
q25,186.0,0.4121289087181822,0.37830769887034255,0.48552983350774903,0.8187795835157442
q25,187.0,0.4134963562177644,0.38188360041992714,0.4882862580399356,0.8239238068069283
q25,188.0,0.4149799566853383,0.3839103386044031,0.49028337009651807,0.8265770752526439
q25,189.0,0.4165804721205848,0.3855706504259269,0.49203516113977536,0.8210855181871621
q25,190.0,0.4182987223234894,0.38863443273166737,0.4944790455279588,0.815683401746919
q25,191.0,0.42013558479476387,0.3906359585553892,0.4975826566046808,0.8103710764589062
q25,192.0,0.42209199462019004,0.39259099337063763,0.49951452114950945,0.8068451226498214
q25,193.0,0.4241689443370036,0.39592927402790934,0.5022303193214249,0.8138048348573503
q25,194.0,0.4263674837803114,0.3986284612019913,0.5046313703240459,0.828400427135199
q25,195.0,0.42868871990739604,0.4012547372811563,0.5081794618347494,0.8303179651577934
q25,196.0,0.43113381659763167,0.40401253868234355,0.5103303183546574,0.8269328099866349
q25,197.0,0.4337039944255988,0.4069034828218721,0.5146929629698419,0.8375529543564612
q25,198.0,0.436400530404848,0.4097839947865767,0.5163552145037212,0.8510473852170511
q25,199.0,0.4392247576996293,0.4131671821838793,0.519921998328602,0.8594625494084184
q25,200.0,0.4421780653017619,0.41694382121624374,0.5218609188328092,0.8650227613423676
q25,201.0,0.4452618976696866,0.4194282934163193,0.524685583519849,0.8706524671368306
q25,202.0,0.44847775432659764,0.4218932727589583,0.5266897862533645,0.873490585097102
q25,203.0,0.4518271894144217,0.42344235009034614,0.5308127065434738,0.8724995248804445
q25,204.0,0.4553118112002645,0.4251120500226036,0.5343047783449068,0.8761106798342905
q25,205.0,0.4589332815318143,0.4282228199774778,0.5377114631107762,0.8847879519048832
q25,206.0,0.46269331523805235,0.4313051794152527,0.5407745495670553,0.892666043105241
q25,207.0,0.4665936794714842,0.4353564600806122,0.5445821900219386,0.9083035081492096
q25,208.0,0.47063619298797477,0.440395488910431,0.5485728922909808,0.9242432654962791
q25,209.0,0.4748227253601334,0.44553032386502583,0.5525265319726472,0.9351941844742271
q25,210.0,0.4791551961200717,0.4507780822423178,0.556529078298984,0.9391251446936268
q25,211.0,0.48363557382722394,0.4549644233285253,0.5606388844978268,0.9450175778837416
q25,212.0,0.48826587505680513,0.4581225403254018,0.5647779927810688,0.9522872945488848
q25,213.0,0.4930481633043541,0.4630017019782225,0.5684128048343823,0.9661861729608539
q25,214.0,0.49798454780170387,0.4675029758682729,0.5710811177893734,0.981876940177285
q25,215.0,0.5030771822396092,0.4707794305288137,0.5757412677834141,0.9983592883990625
q25,216.0,0.5083282633921585,0.4730344382680334,0.5806762686856298,1.0151190675990143
q25,217.0,0.5137400296380081,0.47532086054362926,0.5851654619927797,1.0321557363810714
q25,218.0,0.5193147593733834,0.47826212635927534,0.5906486220426351,1.0494684831533336
q25,219.0,0.5250547693117211,0.4833356976820104,0.5931359911216343,1.067056214864933
q25,220.0,0.530962412664751,0.48780570934883505,0.6000873564801694,1.0849175457550966
q25,221.0,0.5370400771997684,0.4908036677770731,0.6048596788294658,1.1030507861431296
q25,222.0,0.5432901831677936,0.49331513071288974,0.6105604137716115,1.1214539312895027
q25,223.0,0.549715181097287,0.4959400869087496,0.6175265340451304,1.1401246503597409
q25,224.0,0.5563175494480747,0.49822040101227305,0.6203815052639021,1.1590602755242454
q25,225.0,0.5630997921201248,0.5003570949991788,0.627989875793237,1.1782577912285794
q25,226.0,0.5700644358118416,0.5025342025119343,0.630609624655942,1.1977138236701164
q25,227.0,0.5772140272225629,0.506939521458157,0.6387495764685082,1.2174246305182193
q25,228.0,0.584551130094008,0.5122043508207569,0.643358734164131,1.2376670538113828
q25,229.0,0.5920783220854813,0.5139616212071342,0.6508900682634827,1.260328316999426
