background_id,beta_sin,beta_cos,phase_amplitude,preferred_phase_deg,rate_ratio_max_vs_min,realization_id
q50,-0.44558919904131145,0.6421692279872708,0.7816207850844583,325.24394364083486,4.774272327479389,joint_09286
q75,-0.5030525774486964,0.6601877499073536,0.8300058799824921,322.6931751963381,5.259372694121945,joint_09286
q25,0.1196464691303315,0.1344466481059829,0.17997549489385872,41.666455381777595,1.433259168502863,joint_02883
q50,-0.18653490651265947,0.5651315485756139,0.5951209444668857,341.73331627881606,3.287876412123328,joint_02883
q75,-0.33395556885928623,0.7724983525054383,0.8415937420131794,336.62088854694105,5.382685881226476,joint_02883
q25,-0.1751958591919352,0.41481101093873163,0.45029075481738784,337.10318492884505,2.461033810006078,joint_03165
q50,-0.38260004925160385,0.5194807651955187,0.6451690190139723,323.62817776889517,3.634014783338179,joint_03165
q75,-0.48246132594700086,0.5698773135413795,0.7466787016673757,319.7485611079727,4.452017674125392,joint_03165
q25,0.15074370573288418,0.1616316295388231,0.2210168511346086,43.00374880355816,1.555868175838635,joint_02128
q50,-0.33088040978846334,0.5346856650702821,0.6287850236872944,328.2494668546276,3.5168652799659257,joint_02128
q75,-0.5627735024468922,0.7143042747706161,0.9093649498479244,321.7667530620359,6.16402454656378,joint_02128
q25,-0.2839971837712878,0.5093517756670088,0.5831754725339171,330.8574526507619,3.21025683571648,joint_01860
q50,-0.42668567898086557,0.5811126798348357,0.720938704268391,323.71178664928163,4.2286272302764125,joint_01860
q75,-0.495387547044737,0.6156642262860119,0.790222286002714,321.17848227402453,4.8571146685269,joint_01860
q25,0.18775697905690683,0.0109105195026995,0.18807371592116356,86.67429400893866,1.4566618762848231,joint_00984
q50,-0.13459815624151694,0.562232743810898,0.5781196432199366,346.53681126334226,3.1779593800975547,joint_00984
q75,-0.28980618434816696,0.8276841851444776,0.8769542375886678,340.702756041334,5.777138409208925,joint_00984
q25,-0.5533026816654991,0.6716482411852078,0.8702041239993153,320.51836107592214,5.699669826564364,joint_02981
q50,-0.49566356821121527,0.684373014400358,0.8450140801734055,324.0857127343291,5.4196333217362564,joint_02981
q75,-0.46791140247396723,0.6904997570595045,0.8341049065102002,325.87679723676547,5.3026665306164995,joint_02981
q25,-0.17989959781364714,0.5913715308113554,0.6181295598397458,343.0798507841022,3.442710577482726,joint_09341
q50,-0.4505396610389053,0.6637504317602827,0.8022160692924403,325.8321743549276,4.975033670786206,joint_09341
q75,-0.5808478396288457,0.6985995322171739,0.9085293166516705,320.25830370928986,6.1537314231679545,joint_09341
q25,-0.49987461428224494,0.6608619126783031,0.8286212027414265,322.8962125834672,5.244827776091056,joint_07575
q50,-0.516101103019136,0.673028143372535,0.8481316114312981,322.5177697657902,5.453530640444591,joint_07575
q75,-0.5239138568554169,0.6788859581512393,0.8575382636244545,322.3417019747842,5.557100765722988,joint_07575
q25,-0.4369568465645398,0.6424132516467699,0.7769337627179056,325.77723392726546,4.729727195335578,joint_08714
q50,-0.4577048602667773,0.7018347485748224,0.83789364087509,326.8894286378581,5.342999940022398,joint_08714
q75,-0.46769464464192884,0.7304450989475887,0.8673455615862069,327.36908481982647,5.667177073763015,joint_08714
q25,0.04567001318372696,0.1458158468851587,0.15280056055865057,17.390731469604344,1.3574407440988245,joint_06402
q50,-0.22754346445556273,0.5675045089101388,0.6114224364952416,338.1514624283686,3.3968375722928554,joint_06402
q75,-0.3590906944300368,0.770539790625872,0.8501045204938088,335.01331082215415,5.475091790705112,joint_06402
q25,-0.07460862713318483,0.4918855538168909,0.49751165342778464,351.3751842024412,2.704787380633651,joint_06549
q50,-0.28625805283801287,0.662012961938315,0.7212522683423266,336.61607845813865,4.231279953151025,joint_06549
q75,-0.3881633318810792,0.7439261584412238,0.8391048214794965,332.4454967021026,5.3559583043989365,joint_06549
q25,-0.45984450450939174,0.5785663606481807,0.7390507438607776,321.5223250323852,4.3846135314516905,joint_08135
q50,-0.4875550644773077,0.6145589908565504,0.7844696897523149,321.5735778386131,4.8015528667686045,joint_08135
q75,-0.5008971859433414,0.6318887757716916,0.8063382763035657,321.5961958372303,5.016219451171363,joint_08135
q25,-0.17665279139635304,0.7034517653153033,0.7252934542882211,345.9032239575403,4.265617308023578,joint_00051
q50,-0.39753412817265094,0.7118567475771028,0.8153363797433798,330.8189646881037,5.107309553952358,joint_00051
q75,-0.5038844014353139,0.7159035908883395,0.8754527065790839,324.86043360668015,5.759815328434564,joint_00051
q25,-0.10346897279638434,0.613393345295597,0.6220588592604902,350.42531481420366,3.469872044590098,joint_01474
q50,-0.37458578744690024,0.6542487105368611,0.7538938170567256,330.2069895118953,4.516727079546285,joint_01474
q75,-0.5051235130193722,0.6739198123196922,0.8422099956911228,323.1473192512806,5.389324171199789,joint_01474
q25,0.07036212263692831,0.17791062006472924,0.19131914967872551,21.578371643769433,1.4661476276117476,joint_06374
q50,-0.32412962815595603,0.4507777370943745,0.5552121973700176,324.2821527516763,3.03564643347682,joint_06374
