bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
162,1,49,48,31,17,-183.94595839775252,-182.12873491684903,1.8172234809034933,3.6344469618069866,True,True,True,False
163,1,52,51,34,17,-189.659433245221,-189.0012696700687,0.6581635751523152,1.3163271503046303,True,True,True,False
164,1,61,61,40,21,-224.2109467905526,-224.19252070098767,0.018426089564940185,0.03685217912988037,True,True,True,False
165,1,75,75,41,34,-259.64003290827077,-258.54179490388435,1.0982380043864168,2.1964760087728337,True,True,True,False
166,1,57,57,38,19,-213.55795057191725,-213.4140523025881,0.1438982693291564,0.2877965386583128,True,True,True,False
167,1,42,41,31,10,-160.46995706520687,-159.93324968603753,0.5367073791693429,1.0734147583386857,True,True,True,False
168,1,62,62,45,17,-224.69306847137426,-224.03936209117649,0.6537063801977752,1.3074127603955503,True,True,True,False
169,1,47,47,32,15,-179.67385758036545,-178.1112104798941,1.562647100471338,3.125294200942676,True,True,True,False
170,1,55,55,32,23,-208.88855457784666,-206.89285321770637,1.9957013601402878,3.9914027202805755,True,True,True,False
171,1,56,56,40,16,-205.99258381543797,-205.6215422682719,0.3710415471660724,0.7420830943321448,True,True,True,False
172,1,62,62,38,24,-216.4325144733056,-216.0117981717803,0.4207163015252888,0.8414326030505777,True,True,True,False
173,1,56,55,28,27,-207.13809287527442,-206.6385335909037,0.4995592843707186,0.9991185687414372,True,True,True,False
174,1,55,54,31,23,-202.82505703234705,-201.9395586432087,0.8854983891383483,1.7709967782766967,True,True,True,False
175,1,55,54,35,19,-200.61941642099978,-199.0316503321591,1.5877660888406808,3.1755321776813616,True,True,True,False
176,1,67,65,44,21,-233.28464374464804,-231.33965787807003,1.9449858665780084,3.889971733156017,True,True,True,False
177,1,47,47,29,18,-184.41081398775324,-183.63324636620902,0.7775676215442218,1.5551352430884435,True,True,True,False
178,1,45,45,27,18,-171.14270880124246,-170.61278998327302,0.5299188179694454,1.0598376359388908,True,True,True,False
179,1,59,58,37,21,-216.30546331841293,-215.60256703060043,0.7028962878125071,1.4057925756250143,True,True,True,False
180,1,46,46,24,22,-179.15762086462672,-176.99234982584645,2.1652710387802756,4.330542077560551,True,True,True,False
181,1,66,65,41,24,-235.13648065287907,-234.8033838833585,0.33309676952058,0.66619353904116,True,True,True,False
182,1,66,65,44,21,-230.37439267946198,-230.0848162644716,0.28957641499036413,0.5791528299807283,True,True,True,False
183,1,62,62,34,28,-225.06798197044193,-224.3208017577262,0.7471802127157332,1.4943604254314664,True,True,True,False
184,1,49,49,30,19,-187.33682521300247,-185.9220950166002,1.4147301964022745,2.829460392804549,True,True,True,False
185,1,53,51,30,21,-194.04672934545843,-193.11786724701858,0.9288620984398506,1.8577241968797011,True,True,True,False
186,1,59,58,30,28,-211.23223430237738,-210.70729402503804,0.5249402773393399,1.0498805546786798,True,True,True,False
187,1,58,57,30,27,-209.5256922926671,-208.92306720397434,0.6026250886927471,1.2052501773854942,True,True,True,False
188,1,49,49,24,25,-189.66284567213472,-188.44835383712717,1.21449183500755,2.4289836700151,True,True,True,False
189,1,61,60,34,26,-220.78273449987407,-220.48218498166858,0.3005495182054858,0.6010990364109716,True,True,True,False
190,1,61,61,33,28,-220.1972093890223,-217.9217484710175,2.2754609180047964,4.550921836009593,True,True,True,False
191,1,54,54,40,14,-200.80742950175178,-199.39352257242234,1.4139069293294426,2.8278138586588852,True,True,True,False
192,1,51,51,33,18,-189.57331221753049,-189.56106084768794,0.012251369842545046,0.02450273968509009,True,True,True,False
193,1,52,51,33,18,-193.69515646260766,-188.6366918117467,5.058464650860969,10.116929301721939,True,True,True,False
194,1,60,59,34,25,-215.32441364833073,-210.30659741004945,5.017816238281284,10.035632476562569,True,True,True,False
195,1,69,68,40,28,-236.51596949055545,-235.91583288708281,0.6001366034726345,1.200273206945269,True,True,True,False
196,1,50,49,32,17,-188.702778705172,-187.56268948855742,1.1400892166145695,2.280178433229139,True,True,True,False
197,1,52,52,26,26,-198.86491924767972,-195.13887964601497,3.726039601664752,7.452079203329504,True,True,True,False
198,1,50,50,34,16,-188.50041816093443,-187.85409729893138,0.6463208620030514,1.2926417240061028,True,True,True,False
199,1,63,63,42,21,-228.0545199897795,-227.49783449821138,0.5566854915681176,1.1133709831362353,True,True,True,False
200,1,70,69,39,30,-242.1806235602378,-241.63906334174982,0.5415602184879731,1.0831204369759462,True,True,True,False
201,1,58,58,39,19,-216.10683836885653,-214.53681604087132,1.570022327985214,3.140044655970428,True,True,True,False
202,1,54,54,37,17,-199.67526165929792,-197.53414452348494,2.1411171358129764,4.282234271625953,True,True,True,False
203,1,48,47,29,18,-184.75694654771598,-184.09109599782954,0.6658505498864429,1.3317010997728858,True,True,True,False
204,1,59,59,32,27,-215.7137664005091,-212.8610818101005,2.852684590408586,5.705369180817172,True,True,True,False
205,1,54,54,33,21,-204.1224492951851,-203.4657405007654,0.6567087944196999,1.3134175888393997,True,True,True,False
206,1,57,57,37,20,-213.0011713775206,-211.65868299188415,1.3424883856364431,2.6849767712728863,True,True,True,False
207,1,50,50,34,16,-190.60928397345967,-190.5721244083586,0.03715956510106366,0.07431913020212733,True,True,True,False
208,1,59,59,42,17,-214.72679309112516,-214.53043082687907,0.1963622642460905,0.392724528492181,True,True,True,False
209,1,61,61,39,22,-223.91552666994357,-223.5582885087735,0.35723816117007345,0.7144763223401469,True,True,True,False
210,1,49,49,29,20,-184.81614029179175,-184.52025011344026,0.2958901783514989,0.5917803567029978,True,True,True,False
211,1,60,60,33,27,-219.71054244999652,-217.3188402475577,2.391702202438836,4.783404404877672,True,True,True,False
212,1,59,59,38,21,-213.99500632066912,-212.50378479257932,1.4912215280897954,2.9824430561795907,True,True,True,False
213,1,57,57,39,18,-213.19529411614337,-212.4719914441119,0.7233026720314797,1.4466053440629594,True,True,True,False
214,1,43,43,24,19,-168.69048470332967,-165.0189932342202,3.671491469109469,7.342982938218938,True,True,True,False
215,1,70,69,51,18,-242.0862405744059,-241.3959815544467,0.6902590199591998,1.3805180399183996,True,True,True,False
