model_id,term,beta,fit_valid,invalid_reason,realization_id
full,pre_phase_sin,-0.2935831869008294,True,,Barker_MC_01828
full,pre_phase_cos,0.5623971889298216,True,,Barker_MC_01828
interaction,intercept,-1.5505921287384021,True,,Barker_MC_01828
interaction,same_type_exponential_history,-1.3687000019244002,True,,Barker_MC_01828
interaction,lr04_scaled,3.921006470021045,True,,Barker_MC_01828
interaction,co2_scaled,3.7195074520303386,True,,Barker_MC_01828
interaction,pre_phase_sin,-0.21576017515525595,True,,Barker_MC_01828
interaction,pre_phase_cos,0.5077785469566019,True,,Barker_MC_01828
interaction,lr04_phase_sin,-1.450538770493539,True,,Barker_MC_01828
interaction,lr04_phase_cos,0.6086833705921678,True,,Barker_MC_01828
full,intercept,-1.654412397455958,True,,Barker_MC_03544
full,same_type_exponential_history,-0.8676762394996629,True,,Barker_MC_03544
full,lr04_scaled,3.2110020310945018,True,,Barker_MC_03544
full,co2_scaled,2.790033621934773,True,,Barker_MC_03544
full,pre_phase_sin,-0.22391258241730733,True,,Barker_MC_03544
full,pre_phase_cos,0.4678868248406673,True,,Barker_MC_03544
interaction,intercept,-1.5755157424499253,True,,Barker_MC_03544
interaction,same_type_exponential_history,-1.021606049706161,True,,Barker_MC_03544
interaction,lr04_scaled,2.885144510265531,True,,Barker_MC_03544
interaction,co2_scaled,2.7310342208601734,True,,Barker_MC_03544
interaction,pre_phase_sin,-0.13035419980307772,True,,Barker_MC_03544
interaction,pre_phase_cos,0.4376017389655805,True,,Barker_MC_03544
interaction,lr04_phase_sin,-1.7667402280840143,True,,Barker_MC_03544
interaction,lr04_phase_cos,0.13577448359901448,True,,Barker_MC_03544
full,intercept,-1.582797421620951,True,,Barker_MC_06198
full,same_type_exponential_history,-1.2141316109540963,True,,Barker_MC_06198
full,lr04_scaled,2.3324623129141844,True,,Barker_MC_06198
full,co2_scaled,1.730412717889987,True,,Barker_MC_06198
full,pre_phase_sin,-0.2857463534227018,True,,Barker_MC_06198
full,pre_phase_cos,0.5810236003473277,True,,Barker_MC_06198
interaction,intercept,-1.5165326962459789,True,,Barker_MC_06198
interaction,same_type_exponential_history,-1.3272115798525155,True,,Barker_MC_06198
interaction,lr04_scaled,1.9379117624204754,True,,Barker_MC_06198
interaction,co2_scaled,1.5805363669510872,True,,Barker_MC_06198
interaction,pre_phase_sin,-0.21831438368917921,True,,Barker_MC_06198
interaction,pre_phase_cos,0.557830535431708,True,,Barker_MC_06198
interaction,lr04_phase_sin,-1.5495047969974527,True,,Barker_MC_06198
interaction,lr04_phase_cos,0.061615639398005635,True,,Barker_MC_06198
full,intercept,-1.607089409199013,True,,Barker_MC_03528
full,same_type_exponential_history,-1.1223310956543069,True,,Barker_MC_03528
full,lr04_scaled,3.226885033892616,True,,Barker_MC_03528
full,co2_scaled,2.6165793151354064,True,,Barker_MC_03528
full,pre_phase_sin,-0.18602453204581418,True,,Barker_MC_03528
full,pre_phase_cos,0.5156126034181647,True,,Barker_MC_03528
interaction,intercept,-1.5243987016237237,True,,Barker_MC_03528
interaction,same_type_exponential_history,-1.289067751585692,True,,Barker_MC_03528
interaction,lr04_scaled,2.9716239924588836,True,,Barker_MC_03528
interaction,co2_scaled,2.6110302537581838,True,,Barker_MC_03528
interaction,pre_phase_sin,-0.08378697823868084,True,,Barker_MC_03528
interaction,pre_phase_cos,0.4797544645013159,True,,Barker_MC_03528
interaction,lr04_phase_sin,-1.827765429239478,True,,Barker_MC_03528
interaction,lr04_phase_cos,0.2991102420796128,True,,Barker_MC_03528
full,intercept,-1.6533380004244171,True,,Barker_MC_03251
full,same_type_exponential_history,-1.0042741209281971,True,,Barker_MC_03251
full,lr04_scaled,4.005464395032524,True,,Barker_MC_03251
full,co2_scaled,3.4679282973408263,True,,Barker_MC_03251
full,pre_phase_sin,-0.26275179306196117,True,,Barker_MC_03251
full,pre_phase_cos,0.4718462346035339,True,,Barker_MC_03251
interaction,intercept,-1.551182025643072,True,,Barker_MC_03251
interaction,same_type_exponential_history,-1.2600084162109777,True,,Barker_MC_03251
interaction,lr04_scaled,3.8621579717004058,True,,Barker_MC_03251
interaction,co2_scaled,3.6474276670407106,True,,Barker_MC_03251
interaction,pre_phase_sin,-0.1417600759926823,True,,Barker_MC_03251
interaction,pre_phase_cos,0.42201604136864024,True,,Barker_MC_03251
interaction,lr04_phase_sin,-2.2166028462588994,True,,Barker_MC_03251
interaction,lr04_phase_cos,0.4181510542527172,True,,Barker_MC_03251
full,intercept,-1.621550573766469,True,,Barker_MC_09511
full,same_type_exponential_history,-1.0048157086667495,True,,Barker_MC_09511
full,lr04_scaled,2.8882351668685367,True,,Barker_MC_09511
full,co2_scaled,2.07234368645191,True,,Barker_MC_09511
full,pre_phase_sin,-0.19244332537739098,True,,Barker_MC_09511
full,pre_phase_cos,0.5238846447010926,True,,Barker_MC_09511
interaction,intercept,-1.5480582901758637,True,,Barker_MC_09511
interaction,same_type_exponential_history,-1.1635391149722736,True,,Barker_MC_09511
interaction,lr04_scaled,2.6120470650957155,True,,Barker_MC_09511
interaction,co2_scaled,2.013763686961672,True,,Barker_MC_09511
interaction,pre_phase_sin,-0.09077547656882323,True,,Barker_MC_09511
interaction,pre_phase_cos,0.5043495911268149,True,,Barker_MC_09511
interaction,lr04_phase_sin,-1.8075398414876092,True,,Barker_MC_09511
interaction,lr04_phase_cos,-0.027425505686308915,True,,Barker_MC_09511
full,intercept,-1.6130398480836319,True,,Barker_MC_03335
full,same_type_exponential_history,-1.128602834985998,True,,Barker_MC_03335
full,lr04_scaled,3.3878627355262503,True,,Barker_MC_03335
full,co2_scaled,2.879382363892878,True,,Barker_MC_03335
full,pre_phase_sin,-0.2580400614088928,True,,Barker_MC_03335
full,pre_phase_cos,0.509715279741283,True,,Barker_MC_03335
interaction,intercept,-1.5223637980352513,True,,Barker_MC_03335
interaction,same_type_exponential_history,-1.338582856717513,True,,Barker_MC_03335
interaction,lr04_scaled,3.084072402848929,True,,Barker_MC_03335
interaction,co2_scaled,2.8609978054370186,True,,Barker_MC_03335
interaction,pre_phase_sin,-0.15292241107007196,True,,Barker_MC_03335
interaction,pre_phase_cos,0.4776448397667567,True,,Barker_MC_03335
interaction,lr04_phase_sin,-2.110112172353734,True,,Barker_MC_03335
interaction,lr04_phase_cos,0.23210924767255542,True,,Barker_MC_03335
full,intercept,-1.6083882811300911,True,,Barker_MC_08888
full,same_type_exponential_history,-1.0253763939020133,True,,Barker_MC_08888
full,lr04_scaled,2.3687608150689075,True,,Barker_MC_08888
full,co2_scaled,1.707598062806799,True,,Barker_MC_08888
full,pre_phase_sin,-0.2559127604440898,True,,Barker_MC_08888
full,pre_phase_cos,0.5274819811564262,True,,Barker_MC_08888
interaction,intercept,-1.5309285418194192,True,,Barker_MC_08888
interaction,same_type_exponential_history,-1.1743534580517774,True,,Barker_MC_08888
interaction,lr04_scaled,1.95879108538806,True,,Barker_MC_08888
interaction,co2_scaled,1.5932658867619096,True,,Barker_MC_08888
interaction,pre_phase_sin,-0.17469017188806385,True,,Barker_MC_08888
interaction,pre_phase_cos,0.5014879146550226,True,,Barker_MC_08888
interaction,lr04_phase_sin,-1.7985205085106506,True,,Barker_MC_08888
interaction,lr04_phase_cos,0.17548321322049848,True,,Barker_MC_08888
full,intercept,-1.6284184566644069,True,,Barker_MC_07321
full,same_type_exponential_history,-1.0706114235486646,True,,Barker_MC_07321
full,lr04_scaled,3.253187128265892,True,,Barker_MC_07321
full,co2_scaled,2.45240674210204,True,,Barker_MC_07321
full,pre_phase_sin,-0.1279552583438078,True,,Barker_MC_07321
full,pre_phase_cos,0.5822294000544876,True,,Barker_MC_07321
interaction,intercept,-1.553638028336325,True,,Barker_MC_07321
interaction,same_type_exponential_history,-1.214442702638861,True,,Barker_MC_07321
interaction,lr04_scaled,3.1181048625524377,True,,Barker_MC_07321
interaction,co2_scaled,2.5278578798794715,True,,Barker_MC_07321
interaction,pre_phase_sin,-0.03385744373604801,True,,Barker_MC_07321
interaction,pre_phase_cos,0.5445026900497795,True,,Barker_MC_07321
interaction,lr04_phase_sin,-1.5799434696651473,True,,Barker_MC_07321
interaction,lr04_phase_cos,0.38539394163322116,True,,Barker_MC_07321
full,intercept,-1.5967708500874822,True,,Barker_MC_09045
full,same_type_exponential_history,-1.1991367189087028,True,,Barker_MC_09045
full,lr04_scaled,3.457532693156895,True,,Barker_MC_09045
full,co2_scaled,2.7838134726371893,True,,Barker_MC_09045
full,pre_phase_sin,-0.20560401282064927,True,,Barker_MC_09045
full,pre_phase_cos,0.49728218282387787,True,,Barker_MC_09045
interaction,intercept,-1.5096297018809375,True,,Barker_MC_09045
interaction,same_type_exponential_history,-1.3889908960383521,True,,Barker_MC_09045
interaction,lr04_scaled,3.2807126763287826,True,,Barker_MC_09045
interaction,co2_scaled,2.844189051535353,True,,Barker_MC_09045
interaction,pre_phase_sin,-0.10314443455077303,True,,Barker_MC_09045
interaction,pre_phase_cos,0.45420463116286,True,,Barker_MC_09045
interaction,lr04_phase_sin,-1.8369480984228543,True,,Barker_MC_09045
interaction,lr04_phase_cos,0.38471499423104544,True,,Barker_MC_09045
full,intercept,-1.6116627509996921,True,,Barker_MC_05292
full,same_type_exponential_history,-1.170117883493581,True,,Barker_MC_05292
full,lr04_scaled,3.61367905988705,True,,Barker_MC_05292
full,co2_scaled,3.1578955926720624,True,,Barker_MC_05292
full,pre_phase_sin,-0.25065920775139794,True,,Barker_MC_05292
full,pre_phase_cos,0.5013592023877517,True,,Barker_MC_05292
interaction,intercept,-1.5252706880418978,True,,Barker_MC_05292
interaction,same_type_exponential_history,-1.3584786047734907,True,,Barker_MC_05292
interaction,lr04_scaled,3.4054166737003526,True,,Barker_MC_05292
interaction,co2_scaled,3.2233355281174023,True,,Barker_MC_05292
interaction,pre_phase_sin,-0.1529674870725327,True,,Barker_MC_05292
interaction,pre_phase_cos,0.4589266435779144,True,,Barker_MC_05292
interaction,lr04_phase_sin,-1.8982924974801763,True,,Barker_MC_05292
interaction,lr04_phase_cos,0.45764612319882403,True,,Barker_MC_05292
full,intercept,-1.631111671014724,True,,Barker_MC_06980
full,same_type_exponential_history,-1.024216667915692,True,,Barker_MC_06980
full,lr04_scaled,3.145466625827802,True,,Barker_MC_06980
full,co2_scaled,2.531450859246956,True,,Barker_MC_06980
full,pre_phase_sin,-0.17447094640429528,True,,Barker_MC_06980
full,pre_phase_cos,0.5739786438921554,True,,Barker_MC_06980
interaction,intercept,-1.5449899957043798,True,,Barker_MC_06980
interaction,same_type_exponential_history,-1.19164527573661,True,,Barker_MC_06980
interaction,lr04_scaled,2.9677273637282986,True,,Barker_MC_06980
interaction,co2_scaled,2.6559632239663684,True,,Barker_MC_06980
interaction,pre_phase_sin,-0.09540408874728316,True,,Barker_MC_06980
interaction,pre_phase_cos,0.5255897818982531,True,,Barker_MC_06980
interaction,lr04_phase_sin,-1.5403146131723788,True,,Barker_MC_06980
interaction,lr04_phase_cos,0.9367374690703107,True,,Barker_MC_06980
full,intercept,-1.6201897905786444,True,,Barker_MC_05143
full,same_type_exponential_history,-1.0105991446057248,True,,Barker_MC_05143
full,lr04_scaled,2.4072533329237453,True,,Barker_MC_05143
full,co2_scaled,1.6705968814009844,True,,Barker_MC_05143
full,pre_phase_sin,-0.20503814980145052,True,,Barker_MC_05143
full,pre_phase_cos,0.5858304294145771,True,,Barker_MC_05143
interaction,intercept,-1.5482582427331242,True,,Barker_MC_05143
