realization_id,within_observation_support,comparison_id,df,LR_statistic,gain_bits_per_event,nominal_p,delta_AIC,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr
Barker_MC_05174,True,lr04_phase_interaction,2,6.038342213886267,0.0631267128055377,0.04884168612248571,-2.038342213886267,-180.8468330480183,-177.82766194107518,True,,True,69,395.49534660509477
Barker_MC_07983,True,lr04_phase_interaction,2,3.1163594372185344,0.03257939351958478,0.21051892632701055,0.8836405627814656,-178.270009108313,-176.71182938970372,True,,True,69,395.4441153197175
Barker_MC_00147,True,lr04_phase_interaction,2,3.5424154048936316,0.03703351548846893,0.17012740142722166,0.4575845951063684,-177.70313781831408,-175.93193011586726,True,,True,69,396.61617189752945
Barker_MC_05173,True,lr04_phase_interaction,2,6.668151735224171,0.0697109379732105,0.03564751401645413,-2.6681517352241713,-179.602109807103,-176.26803393949092,True,,True,69,395.9505749932178
Barker_MC_09164,True,lr04_phase_interaction,2,4.253981074137357,0.044472444925315005,0.11919546897015824,-0.25398107413735715,-180.08373683056888,-177.9567462935002,True,,True,69,396.01962873075837
Barker_MC_02532,True,lr04_phase_interaction,2,4.205762075066332,0.04396834846997879,0.12210413441657127,-0.20576207506633182,-180.46326029057536,-178.3603792530422,True,,True,69,397.479019320294
Barker_MC_09596,True,lr04_phase_interaction,2,5.740112386859096,0.060008925178745856,0.056695740562228175,-1.7401123868590957,-178.54522687349373,-175.67517068006418,True,,True,69,396.8570864643038
Barker_MC_07231,True,lr04_phase_interaction,2,3.8969387577021735,0.040739813191195094,0.14249200603441534,0.10306124229782654,-180.2093820365613,-178.2609126577102,True,,True,69,395.91899285386313
Barker_MC_05955,True,lr04_phase_interaction,2,2.2383347561736286,0.02340024965638479,0.3265515754595111,1.7616652438263714,-181.40704893458985,-180.28788155650304,True,,True,69,395.45861638425737
Barker_MC_09073,True,lr04_phase_interaction,2,6.244250223668018,0.0652793393605482,0.04406342913703529,-2.2442502236680184,-179.18545148210376,-176.06332637026975,True,,True,69,396.8988247251978
Barker_MC_08639,True,lr04_phase_interaction,2,4.082398206251128,0.04267866410936595,0.1298728864882262,-0.0823982062511277,-180.00734379268118,-177.96614468955562,True,,True,69,397.5029261784845
Barker_MC_03891,True,lr04_phase_interaction,2,3.812946147278467,0.03986172824532843,0.1486035772996619,0.18705385272153308,-181.10551587600946,-179.19904280237023,True,,True,69,395.8499291889981
Barker_MC_07635,True,lr04_phase_interaction,2,6.358936257635264,0.06647830292912622,0.041607779215794644,-2.358936257635264,-181.54841453725084,-178.3689464084332,True,,True,69,396.81746092954467
Barker_MC_06444,True,lr04_phase_interaction,2,4.4369166478331294,0.046384910468598106,0.10877667802600205,-0.43691664783312945,-177.4468000213622,-175.22834169744564,True,,True,69,397.5841068994666
Barker_MC_05619,True,lr04_phase_interaction,2,4.938869740835287,0.05163248465724368,0.08463267391714502,-0.9388697408352868,-179.26286287187486,-176.79342800145722,True,,True,69,395.39410129046286
Barker_MC_07573,True,lr04_phase_interaction,2,3.6088917160642495,0.03772847957877647,0.16456562403371175,0.3911082839357505,-177.94980687185392,-176.1453610138218,True,,True,69,396.80294823093783
Barker_MC_03217,True,lr04_phase_interaction,2,5.168755026180634,0.05403577712928047,0.07544302728436404,-1.1687550261806336,-181.6209642088603,-179.03658669576998,True,,True,69,395.69922596761074
