realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_07112,NGRIP_08431,8680,True,,55,13.5831915,0.00112317501,0.178149119,-9.52481072,333.887688,4.97639969,True,True,False
joint_07113,NGRIP_04567,479,True,,55,9.13282721,0.0103951741,0.119780768,-5.07444639,323.959055,3.52720817,True,True,False
joint_07114,NGRIP_08661,7100,True,,55,9.935979,0.00695712127,0.130314433,-5.87759818,332.733159,3.81274354,True,True,False
joint_07115,NGRIP_09481,7559,True,,55,11.861891,0.00265596959,0.155573557,-7.80351017,319.413528,4.31467313,True,True,False
joint_07116,NGRIP_07709,7318,True,,55,13.5007289,0.00117045299,0.177067587,-9.44234803,328.069861,4.93903183,True,True,False
joint_07117,NGRIP_09609,9297,True,,55,7.14251598,0.0281204562,0.0936770217,-3.08413515,330.613093,3.05477861,True,True,False
joint_07118,NGRIP_09291,8974,True,,55,12.9239973,0.00156167134,0.169503517,-8.86561649,332.167293,4.77383471,True,True,False
joint_07119,NGRIP_07172,944,True,,55,13.5406535,0.00114731972,0.177591215,-9.48227264,329.638961,4.86795573,True,True,False
joint_07120,NGRIP_06565,4830,True,,55,16.9273352,0.000210996802,0.222008932,-12.8689543,326.540626,6.15451367,True,True,False
joint_07121,NGRIP_00081,6280,True,,55,13.9707199,0.000925330178,0.183231712,-9.91233904,330.430459,5.08091036,True,True,False
joint_07122,NGRIP_03879,1173,True,,55,11.2506501,0.00360539103,0.147556883,-7.19226926,336.201762,4.16541749,True,True,False
joint_07123,NGRIP_07468,2713,True,,55,8.07082331,0.0176784012,0.105852152,-4.01244249,337.466536,3.30830622,True,True,False
joint_07124,NGRIP_08436,1642,True,,55,11.4012481,0.00334387801,0.149532038,-7.3428673,327.346572,4.16264939,True,True,False
joint_07125,NGRIP_05569,6448,True,,55,12.7107472,0.00173738602,0.166706654,-8.65236634,338.893506,4.67738624,True,True,False
joint_07126,NGRIP_00142,2416,True,,55,14.1028818,0.000866160009,0.184965069,-10.044501,325.06754,5.21350868,True,True,False
joint_07127,NGRIP_01476,2572,True,,55,14.6102962,0.000672069963,0.191620017,-10.5519154,332.737812,5.29859304,True,True,False
joint_07128,NGRIP_06277,9740,True,,55,12.9504634,0.00154114185,0.16985063,-8.89208253,329.095215,4.75167048,True,True,False
joint_07129,NGRIP_09217,1091,True,,55,12.7492701,0.00170424165,0.167211898,-8.69088926,328.918686,4.71305314,True,True,False
joint_07130,NGRIP_00374,1865,True,,55,15.0637393,0.000535735688,0.197567109,-11.0053584,335.163578,5.40989714,True,True,False
joint_07131,NGRIP_07591,1368,True,,55,11.4031957,0.00334062339,0.149557581,-7.34481486,329.393721,4.20095252,True,True,False
joint_07132,NGRIP_06818,8017,True,,55,13.9851742,0.000918666784,0.183421286,-9.92679335,329.035093,5.1049328,True,True,False
joint_07133,NGRIP_07697,5413,True,,55,11.1445699,0.0038017836,0.146165598,-7.08618908,325.997222,4.1205658,True,True,False
joint_07134,NGRIP_01890,2106,True,,55,12.7283168,0.00172219025,0.166937087,-8.66993597,337.171474,4.66779389,True,True,False
joint_07135,NGRIP_03516,8945,True,,55,7.15722338,0.0279144252,0.0938699153,-3.09884256,340.123315,3.075858,True,True,False
joint_07136,NGRIP_08988,6564,True,,55,9.42385509,0.00898743717,0.123597718,-5.36547427,338.433654,3.63970493,True,True,False
joint_07137,NGRIP_04338,7269,True,,55,10.4315178,0.00543031098,0.136813627,-6.37313693,306.68012,3.93655148,True,True,False
joint_07138,NGRIP_00758,9414,True,,55,8.74994388,0.0125884955,0.114759097,-4.69156306,340.298776,3.512653,True,True,False
joint_07139,NGRIP_02498,4250,True,,55,12.4746502,0.00195507814,0.163610146,-8.41626941,323.978934,4.6580692,True,True,False
joint_07140,NGRIP_08252,834,True,,55,9.39373892,0.00912379483,0.123202732,-5.3353581,335.761368,3.67471766,True,True,False
joint_07141,NGRIP_08489,474,True,,55,12.5154141,0.00191563318,0.164144781,-8.45703331,333.521185,4.64401993,True,True,False
joint_07142,NGRIP_09887,9895,True,,55,8.35410044,0.0153437014,0.109567448,-4.29571961,340.533875,3.37389821,True,True,False
joint_07143,NGRIP_08538,8990,True,,55,12.3301466,0.00210156429,0.161714922,-8.27176579,321.098774,4.52345393,True,True,False
joint_07144,NGRIP_00040,2480,True,,55,14.0867124,0.000873191049,0.184753001,-10.0283315,332.686071,5.18304924,True,True,False
joint_07145,NGRIP_09262,6855,True,,55,11.4323734,0.00329224124,0.149940259,-7.37399261,327.135486,4.17222939,True,True,False
joint_07146,NGRIP_00554,6192,True,,55,13.6415445,0.00109087818,0.178914441,-9.58316365,332.94263,4.93297967,True,True,False
joint_07147,NGRIP_05568,8309,True,,55,11.3282007,0.00346826653,0.148573991,-7.26981991,333.353801,4.2004217,True,True,False
joint_07148,NGRIP_06812,5104,True,,55,15.758416,0.000378532734,0.206678078,-11.7000352,328.645865,5.72298897,True,True,False
joint_07149,NGRIP_04705,5389,True,,55,11.3496321,0.00343130005,0.148855073,-7.2912513,329.098059,4.1542279,True,True,False
joint_07150,NGRIP_05142,966,True,,55,15.8565699,0.000360403999,0.207965407,-11.798189,331.380571,5.71177573,True,True,False
joint_07151,NGRIP_06254,770,True,,55,6.86706073,0.0322728046,0.0900643133,-2.8086799,324.228597,2.95263145,True,True,False
joint_07152,NGRIP_01573,3650,True,,55,13.605212,0.00111087641,0.178437927,-9.54683122,328.673648,4.95772106,True,True,False
joint_07153,NGRIP_05715,9564,True,,55,7.30389695,0.025940535,0.0957935992,-3.24551613,330.432257,3.0856948,True,True,False
joint_07154,NGRIP_07283,2467,True,,55,11.6844476,0.00290238113,0.153246315,-7.62606677,332.835242,4.29033152,True,True,False
joint_07155,NGRIP_01130,6939,True,,55,9.41156324,0.00904284337,0.123436506,-5.35318242,345.824027,3.6974567,True,True,False
joint_07156,NGRIP_00135,1692,True,,55,14.7954323,0.000612650372,0.194048153,-10.7370515,318.796824,5.24246859,True,True,False
joint_07157,NGRIP_04535,7923,True,,55,9.89972601,0.0070843794,0.12983896,-5.84134518,330.585034,3.79533372,True,True,False
joint_07158,NGRIP_03830,4675,True,,55,15.0832865,0.000530525125,0.197823478,-11.0249057,335.492763,5.54549653,True,True,False
joint_07159,NGRIP_02777,1058,True,,55,14.6453479,0.000660394001,0.192079734,-10.586967,325.398455,5.20274878,True,True,False
joint_07160,NGRIP_00729,8983,True,,55,9.92051229,0.00701113172,0.130111581,-5.86213147,332.866352,3.74231512,True,True,False
joint_07161,NGRIP_09775,8258,True,,55,9.69137243,0.00786222043,0.127106318,-5.6329916,337.894725,3.77553662,True,True,False
joint_07162,NGRIP_09083,5426,True,,55,11.5798945,0.00305814346,0.151875058,-7.52151369,305.751178,4.27833077,True,True,False
joint_07163,NGRIP_07805,3418,True,,55,14.1891813,0.000829580287,0.186096923,-10.1308005,328.036263,5.00668578,True,True,False
joint_07164,NGRIP_01448,1388,True,,55,13.0571162,0.00146111112,0.171249425,-8.99873536,321.236257,4.64510472,True,True,False
