comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p,realization_id
obl_after_base,obl,driver_after_base,B,B_obl,1,-183.89336662573845,-183.75059197316125,0.14277465257720223,0.002985221496199628,0.28554930515440446,0.5930868597008716,1.7144506948455955,True,,True,69,396.96840218105285,1.0,Barker_MC_09532
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.3297663488363,-177.81125451302262,0.5185118358136833,0.010841368901023671,1.0370236716273666,0.3085146988521026,0.9629763283726334,True,,True,69,396.96840218105285,1.0,Barker_MC_09532
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-183.75059197316125,-177.81125451302262,5.939337460138631,0.12418337246243558,11.878674920277263,0.00263377405337754,-7.878674920277263,True,,True,69,396.96840218105285,0.02370396648039786,Barker_MC_09532
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-183.89336662573845,-180.48018590084644,3.4131807248920154,0.0713649116733262,6.826361449784031,0.008982206072435306,-4.826361449784031,True,,True,69,396.96840218105285,0.06287544250704714,Barker_MC_09532
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.3297663488363,-178.1270234759081,0.20274287292821214,0.00423907445433497,0.4054857458564243,0.5242697013875781,1.5945142541435757,True,,True,69,396.96840218105285,1.0,Barker_MC_09532
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.48018590084644,-178.1270234759081,2.353162424938347,0.0492013878386203,4.706324849876694,0.09506804078652609,-0.7063248498766939,True,,True,69,396.96840218105285,0.5704082447191565,Barker_MC_09532
phase_reference,pre,reference,B,BP,2,-183.93019220612743,-177.66303385651813,6.2671583496093035,0.13103765610793047,12.534316699218607,0.0018976132823955334,-8.534316699218607,True,,True,69,395.7674613707966,,Barker_MC_03969
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-183.93019220612743,-183.43172164056327,0.4984705655641619,0.01042233352128309,0.9969411311283238,0.3180517983356186,1.0030588688716762,True,,True,69,395.7674613707966,1.0,Barker_MC_03969
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-177.66303385651813,-177.51013812717818,0.15289572933994577,0.0031968392824904485,0.30579145867989155,0.5802742706665637,1.6942085413201085,True,,True,69,395.7674613707966,1.0,Barker_MC_03969
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-183.43172164056327,-177.51013812717818,5.921583513385087,0.12381216186913782,11.843167026770175,0.0026809514913450436,-7.843167026770175,True,,True,69,395.7674613707966,0.02144761193076035,Barker_MC_03969
obl_after_base,obl,driver_after_base,B,B_obl,1,-183.93019220612743,-183.7647468245927,0.1654453815347381,0.0034592352388137554,0.3308907630694762,0.5651350446847172,1.6691092369305238,True,,True,69,395.7674613707966,1.0,Barker_MC_03969
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-177.66303385651813,-177.08980447533708,0.5732293811810507,0.011985437471329727,1.1464587623621014,0.2842916834608768,0.8535412376378986,True,,True,69,395.7674613707966,1.0,Barker_MC_03969
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-183.7647468245927,-177.08980447533708,6.674942349255616,0.13956385834044643,13.349884698511232,0.001262145347366013,-9.349884698511232,True,,True,69,395.7674613707966,0.011359308126294118,Barker_MC_03969
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-183.93019220612743,-179.5521872659982,4.378004940129216,0.09153805820451888,8.756009880258432,0.0030858344805183608,-6.756009880258432,True,,True,69,395.7674613707966,0.021600841363628526,Barker_MC_03969
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-177.66303385651813,-177.32224732022794,0.34078653629018163,0.00712537747692133,0.6815730725803633,0.4090455680356053,1.3184269274196367,True,,True,69,395.7674613707966,1.0,Barker_MC_03969
