realization_id,within_observation_support,n_response_events,response_exposure_kyr,all_comparisons_valid,invalid_reason
Barker_MC_06709,True,69,396.96295850542293,True,
Barker_MC_09226,True,69,397.3020939641843,True,
Barker_MC_03922,True,69,395.816640209653,True,
Barker_MC_01940,True,69,395.6391621468639,True,
Barker_MC_03687,True,69,395.98395196746856,True,
Barker_MC_07791,True,69,395.62990355747746,True,
Barker_MC_05595,True,69,396.3438942792925,True,
Barker_MC_04717,True,69,396.4209337155733,True,
Barker_MC_04611,True,69,396.4914802291468,True,
Barker_MC_03882,True,69,395.9241864400232,True,
Barker_MC_07475,True,69,396.05232033207614,True,
Barker_MC_02455,True,69,396.18258302607893,True,
Barker_MC_08801,True,69,396.0656662998722,True,
Barker_MC_09513,True,69,397.2311898170164,True,
Barker_MC_08195,True,69,395.98614872592333,True,
Barker_MC_09651,True,69,396.272143716353,True,
Barker_MC_03852,True,69,396.27525345785347,True,
Barker_MC_08319,True,69,396.71480967080674,True,
Barker_MC_09463,True,69,396.6488230338406,True,
Barker_MC_06578,True,69,396.47175217876276,True,
Barker_MC_02991,True,69,395.63870116455405,True,
Barker_MC_08296,True,69,395.6742622959043,True,
Barker_MC_09493,True,69,396.679756836719,True,
Barker_MC_03910,True,69,396.3260716792297,True,
Barker_MC_00852,True,69,396.9641350463044,True,
Barker_MC_02025,True,69,396.1280683017918,True,
Barker_MC_02979,True,69,396.7941913504065,True,
Barker_MC_07611,True,69,395.8997426021242,True,
Barker_MC_09760,True,69,396.84175272399796,True,
Barker_MC_00178,True,69,396.8931428350742,True,
Barker_MC_09948,True,69,397.5733921938857,True,
Barker_MC_08368,True,69,396.50331895085736,True,
Barker_MC_03029,True,69,395.4423969964743,True,
Barker_MC_08194,True,69,397.1298085222846,True,
Barker_MC_00480,True,69,397.46109699836427,True,
Barker_MC_06956,True,69,396.4636306897127,True,
Barker_MC_01547,True,69,396.31218100691405,True,
Barker_MC_09425,True,69,397.6621594169971,True,
Barker_MC_04365,True,69,396.2306168656459,True,
Barker_MC_09064,True,69,395.7080779868456,True,
Barker_MC_02355,True,69,396.5559830254772,True,
Barker_MC_02103,True,69,396.81314165104084,True,
Barker_MC_09605,True,69,396.7846687007638,True,
Barker_MC_00231,True,69,396.9719316052289,True,
Barker_MC_05327,True,69,396.5168664216316,True,
Barker_MC_02394,True,69,397.31535276974716,True,
Barker_MC_04245,True,69,396.73351943583,True,
Barker_MC_00704,True,69,396.0542284505363,True,
Barker_MC_05114,True,69,396.50488242580326,True,
Barker_MC_07240,True,69,395.93494748655115,True,
Barker_MC_01427,True,69,396.66915356599725,True,
Barker_MC_07628,True,69,395.6432410061953,True,
Barker_MC_02200,True,69,396.8948680164665,True,
Barker_MC_02169,True,69,397.49602236778804,True,
Barker_MC_02069,True,69,396.0697736386767,True,
Barker_MC_00453,True,69,397.4208104500797,True,
Barker_MC_02535,True,69,395.7665440300473,True,
Barker_MC_09235,True,69,395.9183522388127,True,
Barker_MC_09532,True,69,396.96840218105285,True,
Barker_MC_03969,True,69,395.7674613707966,True,
Barker_MC_04324,True,69,397.31985107123387,True,
Barker_MC_06336,True,69,395.50606766475437,True,
Barker_MC_06608,True,69,397.17484769150286,True,
Barker_MC_07472,True,69,396.7373963910585,True,
Barker_MC_02092,True,69,397.6345976206092,True,
Barker_MC_09359,True,69,396.57292844427747,True,
Barker_MC_09023,True,69,395.7375126527006,True,
Barker_MC_08852,True,69,396.43070400095615,True,
Barker_MC_01966,True,69,395.4871677429534,True,
Barker_MC_08089,True,69,397.0939333049304,True,
Barker_MC_05472,True,69,396.4027378819753,True,
Barker_MC_00375,True,69,396.63161512815185,True,
Barker_MC_02585,True,69,397.1244919308197,True,
Barker_MC_00614,True,69,395.53445262361197,True,
Barker_MC_02089,True,69,396.335818023494,True,
Barker_MC_08893,True,69,396.21062321571395,True,
Barker_MC_02487,True,69,397.44918998329297,True,
Barker_MC_04255,True,69,396.15953403008206,True,
Barker_MC_01925,True,69,397.0257264037602,True,
Barker_MC_07849,True,69,395.8700536493929,True,
Barker_MC_03764,True,69,396.58113540749224,True,
Barker_MC_09669,True,69,396.50604337707614,True,
Barker_MC_08784,True,69,396.52208490281595,True,
Barker_MC_01698,True,69,396.083233027627,True,
Barker_MC_04061,True,69,397.22328628314716,True,
Barker_MC_07636,True,69,396.4438125243419,True,
Barker_MC_04757,True,69,396.40783276430915,True,
Barker_MC_02946,True,69,397.32970235791254,True,
Barker_MC_08483,True,69,396.2048644006875,True,
Barker_MC_05522,True,69,396.2955764756198,True,
Barker_MC_04105,True,69,396.49601073721675,True,
Barker_MC_08963,True,69,396.8964703866387,True,
Barker_MC_04388,True,69,396.6605038230309,True,
Barker_MC_08977,True,69,396.65652104137683,True,
Barker_MC_01303,True,69,396.38943593878525,True,
Barker_MC_06257,True,69,396.2114326047694,True,
Barker_MC_09309,True,69,395.67538684316355,True,
Barker_MC_08987,True,69,397.67953081080594,True,
