event_age_ka,pick_value,event_index,dataset_id,event_type,event_label,age_column,pick_column,analysis_start_ka,analysis_end_ka,source
488.7,1.0,84,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
504.62,1.0,85,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
507.9,1.0,86,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
515.92,1.0,87,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
522.08,1.0,88,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
528.66,1.0,89,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
537.84,1.0,90,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
547.84,1.0,91,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
550.64,1.0,92,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
555.64,1.0,93,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
579.92,1.0,94,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
584.92,1.0,95,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
586.24,1.0,96,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
