replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
225,20260917,True,,69,0.0789863504578,0.011676366243,69,68,ok
226,20260917,True,,64,0.0862328883631,0.0369794406276,64,63,ok
227,20260917,True,,75,0.0739136573283,0.00689392466142,75,74,ok
228,20260917,True,,69,0.0553338026816,0.0386465835037,69,68,ok
229,20260917,True,,72,0.0828106214171,0.0910467968581,72,71,ok
230,20260917,True,,71,0.104068880249,0.0426516551623,71,70,ok
231,20260917,True,,58,0.0691829003414,0.0581789960127,58,57,ok
232,20260917,True,,79,0.07616027354,0.0167125106209,79,78,ok
233,20260917,True,,66,0.099535112984,0.121153404842,66,65,ok
234,20260917,True,,57,0.0766829079792,0.204382517835,57,56,ok
235,20260917,True,,75,0.0561169579547,0.105865221275,75,74,ok
236,20260917,True,,64,0.0874347537394,0.049114378873,64,63,ok
237,20260917,True,,82,0.0665675148035,0.0301787637633,82,81,ok
238,20260917,True,,66,0.0893200436612,0.0218495829278,66,65,ok
239,20260917,True,,74,0.0882340460831,0.0557037543428,74,73,ok
240,20260917,True,,71,0.0515608273936,0.089357258575,71,70,ok
241,20260917,True,,72,0.0782735315941,0.0345390837446,72,71,ok
242,20260917,True,,71,0.067850655304,0.0721826788078,71,70,ok
243,20260917,True,,63,0.105850021954,0.0964328044281,63,62,ok
244,20260917,True,,70,0.0724076636544,0.107449856265,70,69,ok
245,20260917,True,,79,0.0527392506884,0.178003517773,79,78,ok
246,20260917,True,,74,0.0738292254058,0.0404390810946,74,73,ok
247,20260917,True,,64,0.0749254740428,0.0349201963799,64,63,ok
248,20260917,True,,68,0.0738967947684,0.0629235193208,68,67,ok
249,20260917,True,,68,0.0919161663576,0.123416208482,68,67,ok
250,20260917,True,,64,0.050427752553,0.00531473155825,64,63,ok
251,20260917,True,,70,0.0847979788391,0.0714714637755,70,69,ok
252,20260917,True,,71,0.0530167498205,0.0531882362857,71,70,ok
253,20260917,True,,80,0.0661446998614,0.143589246959,80,79,ok
254,20260917,True,,58,0.118933616731,0.12654519878,58,57,ok
255,20260917,True,,69,0.0592234620032,0.0163467318823,69,68,ok
256,20260917,True,,61,0.0747922909405,0.0368669249374,61,60,ok
257,20260917,True,,70,0.0712986977857,0.0406840323092,70,69,ok
258,20260917,True,,78,0.089389902061,0.10800695626,78,77,ok
259,20260917,True,,60,0.124392219756,0.0185420351857,60,59,ok
260,20260917,True,,68,0.0628685565324,0.0778408782043,68,67,ok
261,20260917,True,,70,0.0723445729081,0.0760700774125,70,69,ok
262,20260917,True,,55,0.103040846869,0.0333576130736,55,54,ok
263,20260917,True,,68,0.100394193986,0.0519212200418,68,67,ok
264,20260917,True,,70,0.0582530088647,0.188825495337,70,69,ok
265,20260917,True,,74,0.0438693271243,0.0518370048944,74,73,ok
266,20260917,True,,62,0.0575791169464,0.00699815655579,62,61,ok
267,20260917,True,,66,0.0501489979968,0.102548096521,66,65,ok
268,20260917,True,,80,0.0704520539833,0.0201179413885,80,79,ok
269,20260917,True,,58,0.0699587772693,0.0346270635674,58,57,ok
270,20260917,True,,76,0.0614947395383,0.0544716855807,76,75,ok
271,20260917,True,,68,0.104293252394,0.0677506814537,68,67,ok
272,20260917,True,,79,0.0874412654512,0.046068565855,79,78,ok
273,20260917,True,,63,0.0781613180295,0.0597333639611,63,62,ok
274,20260917,True,,71,0.0712191550505,0.0317471512618,71,70,ok
