composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,algorithm_config_id,smoothing_sigma_yr,search_half_width_yr,definition_pick_age_ka_bp,chronology_input_lower_approx95_ka_bp,chronology_input_upper_approx95_ka_bp,chronology_sampling_lower_approx95_ka_bp,chronology_sampling_upper_approx95_ka_bp,chronology_half_width_approx95_ka,chronology_sigma_ka,chronology_support_id,source_bound_repair_applied
MIS6_DO_08,8,MIS 6.8,MF,6.8,s035_w300,35.000000,300.000000,151.111000,150.531189,151.748264,150.473736,151.748264,0.637264,0.325141,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s035_w300,35.000000,300.000000,159.527000,158.841803,160.369166,158.684834,160.369166,0.842166,0.429684,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s035_w300,35.000000,300.000000,160.885000,160.503621,161.186371,160.503621,161.266379,0.381379,0.194585,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s035_w300,35.000000,300.000000,164.978000,164.309667,164.978000,164.309667,165.646333,0.668333,0.340993,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s035_w300,35.000000,300.000000,168.551000,168.184255,170.933856,166.168144,170.933856,2.382856,1.215765,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s035_w300,35.000000,300.000000,169.680000,169.277044,171.653729,167.706271,171.653729,1.973729,1.007023,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s035_w300,35.000000,300.000000,171.141000,169.973015,172.577979,169.704021,172.577979,1.436979,0.733166,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s035_w300,35.000000,300.000000,172.359000,171.268605,173.398543,171.268605,173.449395,1.090395,0.556334,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s035_w300,35.000000,300.000000,174.753000,172.670964,176.965519,172.540481,176.965519,2.212519,1.128857,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s035_w400,35.000000,400.000000,134.970000,133.964889,135.950000,133.964889,135.975111,1.005111,0.512821,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s035_w400,35.000000,400.000000,138.401000,137.796765,138.911176,137.796765,139.005235,0.604235,0.308289,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s035_w400,35.000000,400.000000,146.237000,145.699460,146.765556,145.699460,146.774540,0.537540,0.274260,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s035_w400,35.000000,400.000000,146.836000,146.223311,147.451481,146.220519,147.451481,0.615481,0.314027,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s035_w400,35.000000,400.000000,148.435000,147.791032,149.207698,147.662302,149.207698,0.772698,0.394241,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s035_w400,35.000000,400.000000,149.471000,148.615035,150.413597,148.528403,150.413597,0.942597,0.480926,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s035_w400,35.000000,400.000000,150.455000,149.795671,151.173071,149.736929,151.173071,0.718071,0.366369,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s035_w400,35.000000,400.000000,151.111000,150.531189,151.748264,150.473736,151.748264,0.637264,0.325141,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s035_w400,35.000000,400.000000,159.527000,158.841803,160.369166,158.684834,160.369166,0.842166,0.429684,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s035_w400,35.000000,400.000000,160.885000,160.503621,161.186371,160.503621,161.266379,0.381379,0.194585,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s035_w400,35.000000,400.000000,164.978000,164.309667,164.978000,164.309667,165.646333,0.668333,0.340993,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s035_w400,35.000000,400.000000,168.551000,168.184255,170.933856,166.168144,170.933856,2.382856,1.215765,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s035_w400,35.000000,400.000000,169.680000,169.277044,171.653729,167.706271,171.653729,1.973729,1.007023,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s035_w400,35.000000,400.000000,171.141000,169.973015,172.577979,169.704021,172.577979,1.436979,0.733166,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s035_w400,35.000000,400.000000,172.359000,171.268605,173.398543,171.268605,173.449395,1.090395,0.556334,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s035_w400,35.000000,400.000000,174.753000,172.670964,176.965519,172.540481,176.965519,2.212519,1.128857,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s035_w500,35.000000,500.000000,134.970000,133.964889,135.950000,133.964889,135.975111,1.005111,0.512821,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s035_w500,35.000000,500.000000,138.401000,137.796765,138.911176,137.796765,139.005235,0.604235,0.308289,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s035_w500,35.000000,500.000000,146.237000,145.699460,146.765556,145.699460,146.774540,0.537540,0.274260,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s035_w500,35.000000,500.000000,146.836000,146.223311,147.451481,146.220519,147.451481,0.615481,0.314027,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s035_w500,35.000000,500.000000,148.435000,147.791032,149.207698,147.662302,149.207698,0.772698,0.394241,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s035_w500,35.000000,500.000000,149.471000,148.615035,150.413597,148.528403,150.413597,0.942597,0.480926,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s035_w500,35.000000,500.000000,150.455000,149.795671,151.173071,149.736929,151.173071,0.718071,0.366369,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s035_w500,35.000000,500.000000,151.111000,150.531189,151.748264,150.473736,151.748264,0.637264,0.325141,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s035_w500,35.000000,500.000000,159.527000,158.841803,160.369166,158.684834,160.369166,0.842166,0.429684,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s035_w500,35.000000,500.000000,160.885000,160.503621,161.186371,160.503621,161.266379,0.381379,0.194585,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s035_w500,35.000000,500.000000,164.978000,164.309667,164.978000,164.309667,165.646333,0.668333,0.340993,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s035_w500,35.000000,500.000000,168.551000,168.184255,170.933856,166.168144,170.933856,2.382856,1.215765,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s035_w500,35.000000,500.000000,169.680000,169.277044,171.653729,167.706271,171.653729,1.973729,1.007023,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s035_w500,35.000000,500.000000,171.141000,169.973015,172.577979,169.704021,172.577979,1.436979,0.733166,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s035_w500,35.000000,500.000000,172.359000,171.268605,173.398543,171.268605,173.449395,1.090395,0.556334,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s035_w500,35.000000,500.000000,174.753000,172.670964,176.965519,172.540481,176.965519,2.212519,1.128857,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s050_w300,50.000000,300.000000,134.976000,133.968778,135.959500,133.968778,135.983222,1.007222,0.513898,MF_segment_0,False
