realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
2421,133.496184,137.509403,145.460100,145.940628,147.299954,148.063622,149.409839,150.179091,158.281124,160.322600,164.116249,164.727807,166.771442,169.430185,170.760713,171.502620,177.425901,179.408676,179.929676,190.413317,194.322120
2422,135.696426,138.823166,146.636038,147.288253,148.993527,150.136832,150.974228,151.570633,160.126101,161.149875,165.439162,170.434566,171.088553,172.516579,173.144536,176.333911,177.764328,180.074554,180.530554,190.780609,194.712031
2423,134.894206,138.344161,146.207284,146.796902,148.376041,149.380928,150.403844,151.063269,159.453413,160.848246,164.956821,168.353851,169.514511,171.391263,172.275381,174.572397,177.631235,180.615146,181.136146,190.635750,194.584500
2424,134.582689,138.154558,146.057673,146.609934,148.135549,149.066156,150.161432,150.870287,159.178116,160.449836,164.767081,167.509977,168.890261,170.923934,171.933209,173.874483,177.160735,179.793344,180.249344,190.130864,194.008786
2425,135.061438,138.444015,146.296663,146.899330,148.504763,149.538505,150.522747,151.169035,159.593642,160.911124,165.057370,168.787599,169.842638,171.625848,172.456566,174.939604,177.647344,180.289964,180.810964,190.652910,194.603594
2426,135.091147,138.457417,146.329902,146.921207,148.527331,149.547348,150.524149,151.191273,159.606012,160.734560,165.071816,168.856375,169.885734,171.640387,172.482922,174.987799,177.708593,180.067061,180.545061,190.714439,194.656164
2427,134.645317,138.191861,146.091204,146.648274,148.183805,149.125425,150.206109,150.909823,159.230820,160.484906,164.804615,167.675814,169.012875,171.012181,172.000918,174.011611,177.490391,179.558505,180.079505,190.482012,194.398325
2428,134.926391,138.359281,146.241691,146.820344,148.400381,149.391426,150.406617,151.087263,159.467360,160.642300,164.973072,168.420099,169.563169,171.408234,172.304798,174.627049,177.634964,179.363259,179.819259,190.639722,194.588919
2429,135.486091,138.692662,146.541355,147.162986,148.831646,149.921113,150.805887,151.440597,159.938379,160.955718,165.308518,169.902184,170.658964,172.196890,172.909910,175.852563,178.217975,179.552563,180.073563,191.260786,195.279981
2430,135.118967,138.473988,146.344797,146.938238,148.548767,149.573676,150.543994,151.208835,159.629424,160.750138,165.088489,168.930041,169.940200,171.679587,172.512999,175.048712,177.873063,179.509984,179.987984,190.889632,194.850512
2431,134.810035,138.293903,146.162299,146.745348,148.311254,149.301617,150.343998,151.010036,159.382833,160.816599,164.906212,168.135538,169.349360,171.273193,172.184188,174.387575,177.623156,180.165436,180.621436,190.629863,194.545462
