algorithm_config_id,component,mapping_lag_ka,composite_event_id,projected_depth_mm,chronology_sigma_before_conditioning_ka
s075_w300,So-57,-1.0,MIS6_DO_18,436.9113475209386,0.2280750174208817
s075_w300,So-57,-1.0,MIS6_DO_19,455.46014493090377,0.2383218728448917
s075_w300,So-57,-1.0,MIS6_DO_20,787.8502202674817,0.3609519012784633
s075_w300,So-57,-0.5,MIS6_DO_17,342.9257812529685,0.2654112067830521
s075_w300,So-57,-0.5,MIS6_DO_18,454.7014388521745,0.2373804949905451
s075_w300,So-57,-0.5,MIS6_DO_19,473.8992805788834,0.271644225346916
s075_w300,So-57,-0.5,MIS6_DO_20,797.6172248838196,0.3984404456757431
s075_w300,So-57,0.0,MIS6_DO_17,362.28518518799984,0.3054421774663352
s075_w300,So-57,0.0,MIS6_DO_18,473.14388489534025,0.2698747887491249
s075_w300,So-57,0.0,MIS6_DO_19,491.96028881202017,0.2832235256881731
s075_w300,So-57,0.0,MIS6_DO_20,809.1782178253382,0.440134421848307
s075_w300,So-57,0.5,MIS6_DO_17,381.12915129431735,0.3380057536474627
s075_w300,So-57,0.5,MIS6_DO_18,491.2021660682475,0.2850223002929755
s075_w300,So-57,0.5,MIS6_DO_19,510.1948529445936,0.2480235272241243
s075_w300,So-57,0.5,MIS6_DO_20,821.6058201096207,0.4849503445435558
s075_w300,So-57,1.0,MIS6_DO_17,399.7252747280581,0.2852984914727632
s075_w300,So-57,1.0,MIS6_DO_18,509.42700730257144,0.2491654080536021
