age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,ecc,ecc_scaled,obl,obl_scaled,insol65n,insol65n_scaled,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,event_id,B,BP,B_ecc,BP_ecc,B_obl,BP_obl,B_insol65n,BP_insol65n
59.03,NGRIP,1.0,4.4351,0.032961855703400884,230.3833551670026,0.18193731489052842,-0.017784799999999996,0.0180768,-0.33392307704995905,23.374500801716092,0.049865172508513016,511.98540771484375,0.2035930010289079,37.43051766200724,6.014591126109309,344.6106870229005,-0.26537628619088044,0.9641449199822275,False,0.8228715490379152,0.35999999999999943,0.3074846997479602,1.0,0.0,NGRIP:GI-17.1,0.2979000341853063,0.6548222767174858,0.4292370682477686,0.7719233982969149,0.2998682472205547,0.7249956994697646,0.44377472484094865,0.6671240944799626
59.39,NGRIP,1.0,4.4963,0.078241524244389,226.2745218562517,0.13914375908162505,-0.0181534,0.018223800000000002,-0.3292681909395059,23.31888951812069,0.024935804860697613,511.2940710449219,0.19660821973704895,37.51685150592269,6.1009249700247565,349.55725190839667,-0.18125293264359735,0.9834365126474081,False,0.04607475753810727,4.659999999999997,1.7334238922150909,0.0,0.0,NGRIP:GI-17.2,0.4133940660838862,1.4567586743857055,0.6156789529555634,1.6571067700253526,0.415328687262447,1.6647982604968248,0.7919014038883273,1.5725787204614121
64.05,NGRIP,1.0,4.366,-0.018162737371473843,198.99712279126157,-0.14495072977366957,-0.008441,0.020436,-0.259216904860972,22.674518263404764,-0.2639222626381457,490.8570465087891,-0.009873155910769017,38.76452152559927,1.0654096825217536,61.043478260869506,0.8749873476381806,0.48414578535096386,False,0.029606436663324093,5.519999999999996,1.8748743759385609,0.0,0.0,NGRIP:GI-18,0.39397041361565616,0.3900444991242026,0.39197581760124195,0.38962281165628304,0.3850441545969403,0.32919552814188807,0.3670989253877207,0.27956809701126695
69.57,NGRIP,1.0,4.384500000000001,-0.004475255868069497,211.00659637552027,-0.01987189614982413,0.02039839999999998,0.023087999999999997,-0.17523895952136806,22.341457897095214,-0.41322621291297046,458.26371093750004,-0.33917338030557664,40.27248599932237,2.573374156244853,147.44347826086914,0.5381313443759372,-0.8428609945893489,False,0.1737884550388053,2.720000000000013,1.3137236682850586,0.0,0.0,NGRIP:GI-19.1,0.37246559587099876,0.14678924054652692,0.35562405911317807,0.15429702163901618,0.3596401401196286,0.10006401343365987,0.14471634524441587,0.0975398702906695
72.29,NGRIP,1.0,4.215800000000001,-0.12929028990180763,236.1484781324524,0.2419811503806762,0.023633199999999997,0.0245026,-0.13044438882853096,22.406981350546378,-0.3838534282003788,456.35953430175783,-0.3584118467726176,41.01863540802107,3.3195235649435517,190.19469026548677,-0.1769935318397773,-0.9842120146019767,False,0.0654708757177886,4.099999999999994,1.629240539730279,0.0,0.0,NGRIP:GI-19.2,0.3288976515726649,0.18262343037120793,0.43845882778500694,0.23017109421748028,0.31776593040846385,0.12377530126698158,0.11718927493066851,0.1255904839082884
76.39,NGRIP,1.0,4.0678,-0.23879014192903517,238.92002697171657,0.2708468699073896,0.004499600000000041,0.026732799999999994,-0.05982311669565599,22.751638382629373,-0.22935093680468366,480.01502441406245,-0.11941335012863079,42.15850530888109,4.459393465803572,255.5044247787614,-0.9681669735771427,-0.2503052362106642,False,0.00720931546497304,8.319999999999993,2.232162628697499,0.0,0.0,NGRIP:GI-20,0.29982908107879896,0.4287339567708416,0.3944688005239394,0.5064834712528178,0.2929138697211132,0.3484866866356593,0.18413886601980164,0.35123963422048854
84.71,NGRIP,1.0,3.9122999999999992,-0.35383897294412914,240.27756535436947,0.28498565095474454,-0.027134400000000034,0.031650399999999995,0.09589707335036089,23.811724895180422,0.24586352870104322,529.851923828125,0.3841037607327903,44.463097417241286,0.48080026698418266,27.547826086956775,0.4624888603495783,0.886625092162718,False,0.848335292373722,0.30000000000001137,0.2623642644674998,1.0,0.0,NGRIP:GI-21.1,0.19784456264843173,0.18242613224014434,0.18674076529017478,0.1771179753179383,0.201009647693404,0.19808205945692317,0.3208190265224845,0.2067210233022767
85.01,NGRIP,1.0,3.9511000000000007,-0.32513225498023335,237.78770986206936,0.25905377153606424,-0.025864999999999975,0.0318354,0.10175526335331231,23.845643996652168,0.26106874778975786,529.3355041503906,0.37888621816529633,44.5450520082045,0.5627548579473967,32.24347826086978,0.5335182467955211,0.8457885553353353,False,0.03615906594988601,4.97999999999999,1.7884205679625387,0.0,0.0,NGRIP:GI-21.2,0.2727948972840487,0.39090435104457744,0.27566885834054744,0.37542137205218656,0.27749684524731205,0.44695018978599593,0.5698499399484301,0.48121924550469014
89.99,NGRIP,1.0,4.0602,-0.24441310730340632,229.28465882186086,0.17049437724693026,0.01377839999999995,0.0347682,0.19462499114063908,24.23439586064843,0.4353380240007808,496.10529907226567,0.043151510529196295,45.90549821819381,1.9232010679367093,110.19130434782619,0.9385454170855416,-0.3451557620375572,False,0.0001724400423666952,14.0,2.70805020110221,0.0,0.0,NGRIP:GI-22,0.30336737838170935,0.13823129491899894,0.2199542770106565,0.11773058540305847,0.3136896875288973,0.16379053561060797,0.2790869689697305,0.14286687986347302
103.99,NGRIP,1.0,3.9195999999999995,-0.34843796672927246,245.67753720899904,0.3412264325710148,-0.03836479999999997,0.0417834,0.41676755605255084,23.062250262525698,-0.09011017037945024,528.7222143554687,0.3726899678108303,49.84850743250568,5.8662102822485735,336.1090909090908,-0.40499652039241063,0.9143182260406054,False,0.9500838486081646,0.480000000000004,0.3920420877760264,1.0,0.0,NGRIP:GI-23.1,0.19025467171478458,0.27736262112613186,0.10272465376659058,0.18321581149011057,0.18785451422134863,0.24623092091201546,0.2961590602306458,0.32404104495068625
104.47,NGRIP,1.0,3.8871,-0.37248354234335895,239.64024924936098,0.2783479948988921,-0.04045539999999999,0.0419552,0.42220775628231855,22.990825343784685,-0.12212845773754523,529.2244799804688,0.377764507747271,49.985595111935055,6.003297961677951,343.9636363636364,-0.2762473795924209,0.9610865649192694,False,0.3083868463654673,2.230000000000004,1.1724821372345664,0.0,0.0,NGRIP:GI-23.2,0.23555085576457058,0.45899469905787965,0.13158510483993008,0.30081342119469395,0.2316762384064702,0.40871536443113626,0.43192747049307506,0.5389185659400036
106.7,NGRIP,1.0,4.0280000000000005,-0.2682367237579784,242.37430202931566,0.3068231924488497,-0.039631,0.042653,0.4443042156556127,22.686092010866407,-0.25873399531395586,523.089599609375,0.3157819752010757,50.63595328922794,0.37047083179125195,21.2264150943397,0.36205436122098694,0.9321569822303876,False,0.36378834794068815,1.5300000000000011,0.9282193027394293,0.0,0.0,NGRIP:GI-24.1,0.2551311870623283,0.3901541407593868,0.13038810926857747,0.23872215603074862,0.24855865357357484,0.31169354843637276,0.43934533563627554,0.4181789058960995
