knot_spacing_ka,event_subset,younger_event,older_event,nominal_gap_ka,unconditioned_gap_sigma_ka
10,all_69_boundaries,GI-24.2,GS-25,2.36,0.190317550426
10,all_69_boundaries,GS-25,GI-25,4.73,0.510396369869
10,all_69_boundaries,GI-25,GS-26,3.77,0.406806408965
10,34_warming_events,GI-1,GI-2.1,8.328,0.174365358037
10,34_warming_events,GI-2.1,GI-2.2,0.32,0.0138166739847
10,34_warming_events,GI-2.2,GI-3,4.44,0.191706351538
10,34_warming_events,GI-3,GI-4,1.12,0.0483583589465
10,34_warming_events,GI-4,GI-5.1,1.94,0.0704475249033
10,34_warming_events,GI-5.1,GI-5.2,1.66,0.102820720261
10,34_warming_events,GI-5.2,GI-6,1.24,0.0768058392311
10,34_warming_events,GI-6,GI-7,1.74,0.107775935695
10,34_warming_events,GI-7,GI-8,2.74,0.169716128624
10,34_warming_events,GI-8,GI-9,1.94,0.110776888253
10,34_warming_events,GI-9,GI-10,1.3,0.0873863055633
10,34_warming_events,GI-10,GI-11,1.88,0.126374041892
10,34_warming_events,GI-11,GI-12,3.52,0.236615227371
10,34_warming_events,GI-12,GI-13,2.42,0.162672968818
10,34_warming_events,GI-13,GI-14,4.94,0.332667688302
10,34_warming_events,GI-14,GI-15.1,0.78,0.060834121517
10,34_warming_events,GI-15.1,GI-15.2,0.8,0.0623939707867
10,34_warming_events,GI-15.2,GI-16.1,2.24,0.174703118203
10,34_warming_events,GI-16.1,GI-16.2,0.24,0.018718191236
10,34_warming_events,GI-16.2,GI-17.1,0.8,0.0623939707867
10,34_warming_events,GI-17.1,GI-17.2,0.36,0.028077286854
10,34_warming_events,GI-17.2,GI-18,4.66,0.355526384897
10,34_warming_events,GI-18,GI-19.1,5.52,0.496380791431
10,34_warming_events,GI-19.1,GI-19.2,2.72,0.206755905375
10,34_warming_events,GI-19.2,GI-20,4.1,0.357282713688
10,34_warming_events,GI-20,GI-21.1,8.32,0.539663895402
10,34_warming_events,GI-21.1,GI-21.2,0.3,0.0278309629729
10,34_warming_events,GI-21.2,GI-22,4.98,0.458299980908
10,34_warming_events,GI-22,GI-23.1,14,1.0619389813
10,34_warming_events,GI-23.1,GI-23.2,0.48,0.0494918175055
10,34_warming_events,GI-23.2,GI-24.1,2.23,0.229930735494
10,34_warming_events,GI-24.1,GI-24.2,1.53,0.157755168299
10,34_warming_events,GI-24.2,GI-25,7.09,0.60598774276
